"","sr_band1","sr_band2","sr_band3","sr_band4","sr_band5","sr_band7","ndvi","evi","savi","sr","ndsvi","greenness","brightness","wetness","total_shrubs","elevation","slope","folded_aspect","tpi","tri","roughness","flowdir"
"1",907,1261,1390,1813,1807,1455,0.132063690290353,0.315530359540504,0.198064616825347,1.30431654676259,0.130434782608696,42.7964000000002,3417.8965,1344.5735,30,1553,0.502891659736633,38.7319650650024,-2,12.5,33,64
"2",845,1097,1350,1977,2535,2275,0.188458070333634,0.419061622777704,0.282644628099174,1.46444444444444,0.305019305019305,130.4922,3825.3683,1317.7485,5,1510,0.0873761102557182,44.5576257705688,-0.25,2,7,64
"3",1497,2084,2373,2711,3115,2824,0.0664830841856806,0.147662734818698,0.0997148195496116,1.14243573535609,0.135204081632653,-253.4803,5663.0878,2031.4573,55,1355,0.0166651234030724,45,-0.375,0.375,1,64
"4",1283,1775,2065,2613,3231,2987,0.117144078666097,0.254575861748583,0.17569733889067,1.26537530266344,0.220166163141994,-81.4603999999996,5338.2617,1830.4775,40,1389,0.0176758281886578,39.5022130012512,-0.375,0.375,1,8
"5",1113,1504,1860,2382,2832,2470,0.123055162659123,0.25117890482148,0.184560989982322,1.28064516129032,0.207161125319693,14.5969000000001,4701.2771,1714.2169,45,1280,0.0343457013368607,43.1842249631882,-0.25,0.75,3,1
"6",901,1323,1801,2553,3088,2504,0.172714745062012,0.284740628549792,0.259042369962108,1.41754580788451,0.263244017181428,259.6238,4736.0898,1833.3774,0,1283,0.0412245281040668,42.6438055038452,-0.125,0.875,3,4
"7",974,1505,1803,2486,3066,2671,0.15924457915598,0.284583333333333,0.238839025527451,1.37881308929562,0.25939617991374,118.2787,4820.9067,1745.4062,0,1337,0.0448462851345539,43.0486973524094,-0.5,1,3,1
"8",976,1435,1891,2589,3161,2771,0.155803571428571,0.263754534461911,0.233679276866421,1.36911686938128,0.2513855898654,161.6129,4952.6608,1778.605,0,1284,0.0294542610645294,43.2873066663742,0.125,0.625,2,1
"9",638,1035,1217,4053,2367,1810,0.538140417457305,1.07898341196165,0.807134048003036,3.3303204601479,0.320870535714286,1962.3237,4716.0883,1758.0833,0,1284,1.77635683940025e-15,40.2876110076904,0,0,0,32
"10",1180,1716,1995,2735,2909,2749,0.156448202959831,0.315915300546448,0.234647500264243,1.37092731829574,0.186378466557912,117.439,5168.6546,1739.2829,0,1302,0.00833314005285501,41.8584072589874,-0.125,0.125,1,8
"11",925,1334,1678,2556,2966,2442,0.207368918280586,0.385934065934066,0.311016648955012,1.52324195470799,0.277347114556417,324.6867,4626.9525,1753.5227,0,1312,0.0186317432671785,40.7512588500977,0.5,0.5,1,16
"12",802,1130,1426,2088,3012,2508,0.188389299943085,0.357451403887689,0.28254374733248,1.46423562412342,0.357368183866607,145.1216,4138.687,1546.6384,35,1366,0.0412245281040668,41.0730092525482,0.125,0.875,3,8
"13",1097,1541,1803,2520,3300,3002,0.165857043719639,0.350679839577423,0.248756794263907,1.39767054908486,0.293356848912404,67.5936000000002,5029.8547,1719.0284,25,1273,8.88178419700125e-16,40.2876110076904,0,0,0,128
"14",1494,2057,2384,2859,3567,3263,0.0905969864581347,0.199278402416513,0.135882521216745,1.19924496644295,0.198790119307679,-196.6925,5984.598,2092.3556,15,1261,0.0131753943860531,43.1074531078339,0.25,0.25,1,1
"15",948,1333,1570,2339,2962,2460,0.196725505244308,0.413440860215054,0.29505051796905,1.48980891719745,0.307149161518094,199.6673,4449.8925,1672.2351,15,1467,0.101034186780453,43.5943523645401,-0.375,2.375,7,1
"16",914,1298,1570,2542,3078,2493,0.236381322957198,0.475724353954581,0.354528875379939,1.61910828025478,0.324440619621343,371.4174,4588.7739,1755.2387,25,1467,0.101034186780453,43.5943523645401,-0.375,2.375,7,1
"17",614,939,845,4346,2166,1401,0.674436524754383,1.81889027431421,1.01155735336608,5.14319526627219,0.438724676187313,2468.5213,4477.0017,1782.293,0,1257,0.0176758281886578,44.2146018147469,0.375,0.375,1,64
"18",1334,1892,2110,2704,3187,2882,0.123390112172829,0.27705223880597,0.185065946619587,1.28151658767773,0.203322635454031,-57.3927999999999,5436.5036,1918.3922,20,1258,8.88178419700125e-16,40.2876110076904,0,0,0,32
"19",1520,2066,2508,2938,3417,3209,0.0789570326845391,0.163200242902687,0.118424676397687,1.17145135566188,0.153417721518987,-194.0746,6048.2073,2076.9495,20,1273,0.0176758281886578,44.2146018147469,-0.375,0.375,1,128
"20",1195,1688,1884,2300,2885,2651,0.0994263862332696,0.224017232094777,0.149121758872028,1.2208067940552,0.209897253092892,-153.5289,4818.9598,1673.8592,20,1334,0.0131753943860531,44.6782494485378,0.25,0.25,1,64
"21",1101,1445,1714,2232,2793,2651,0.131272174353776,0.304026294165982,0.196883314329152,1.3022170361727,0.239405369425338,-40.0914,4537.0286,1495.5995,25,1403,0.0448462851345539,43.8097100257874,0.5,1,3,1
"22",796,1128,1313,2406,2982,2226,0.293896208658241,0.633256083429896,0.440785051754268,1.83244478293983,0.388591385331781,495.6646,4182.4556,1713.5376,30,1607,0.0919728875160217,43.1074531078339,-0.625,2.125,8,2
"23",813,1128,1342,2372,2889,2128,0.277329025309639,0.595031773541306,0.415937542064881,1.76751117734724,0.365634601748996,465.7871,4130.8063,1714.2217,0,1607,0.0919728875160217,43.1074531078339,-0.625,2.125,8,2
"24",1281,1816,2132,2626,3640,3266,0.103825136612022,0.212509679084574,0.155721340758642,1.23170731707317,0.261261261261261,-155.6951,5591.4003,1969.4805,25,1385,0.0614426583051682,43.9231450557709,-0.25,1.5,5,128
"25",1079,1536,1789,2289,3013,2543,0.122609122118686,0.253472574267464,0.183891136447223,1.27948574622694,0.254893794252395,-38.3038999999999,4688.3811,1761.3576,25,1488,0.0929013043642044,44.5363523960114,0.125,2.125,8,128
"26",1024,1404,1708,2428,3294,2742,0.174081237911025,0.360216129677807,0.26109029372658,1.42154566744731,0.317073170731707,129.3356,4790.9286,1799.6578,25,1696,0.168358385562897,43.2318080663681,3.375,4.375,13,128
"27",1076,1500,1844,2221,3081,2771,0.0927429274292743,0.180694018404908,0.139097282007133,1.20444685466377,0.251167512690355,-141.7588,4737.8942,1667.2049,25,1275,0.0235658623278141,42.6438055038452,0.25,0.5,2,1
"28",942,1292,1504,2087,2920,2541,0.162350320245057,0.36014331603657,0.243491577335375,1.3876329787234,0.320072332730561,32.9423999999998,4256.0208,1525.0499,20,1581,0.129705011844635,42.9655561447144,0.375,3.125,10,1
"29",1450,2056,2270,2790,3360,3098,0.102766798418972,0.234826589595376,0.154134966900504,1.22907488986784,0.19360568383659,-164.0782,5769.9402,2004.3204,10,1260,0.0358276851475239,42.4786567687988,0,0.75,3,1
"30",1118,1503,1761,2254,2828,2540,0.122789539227895,0.277840396753832,0.184161374673142,1.27995457126633,0.232512529962955,-48.8308999999999,4588.5818,1617.5739,15,1274,0.0117845674976707,41.0730092525482,0,0.25,2,8
"31",1050,1435,1677,2221,2714,2410,0.139558748075936,0.308459968246768,0.209311273566756,1.32438878950507,0.236164882714644,15.2575000000003,4415.5155,1572.2007,15,1279,0.0176758281886578,41.0730092525482,-0.375,0.375,1,32
"32",1402,1951,2238,2619,3080,2865,0.0784434836318715,0.172148924634014,0.117653113741637,1.17024128686327,0.158330199323054,-213.1337,5459.495,1896.1758,20,1267,0.00589248817414045,41.0730092525482,0.125,0.125,1,8
"33",876,1196,1509,1920,2689,2278,0.119860017497813,0.233257661748014,0.179763813967051,1.27236580516899,0.281086231538828,-26.4968,3976.7742,1481.9486,20,1335,0.0186317432671785,42.3220548629761,-0.5,0.5,1,2
"34",922,1264,1706,2356,3152,2705,0.160019694731659,0.286192321239873,0.24,1.3810082063306,0.297653355290243,134.2928,4616.5561,1682.0117,10,1319,0.0235658623278141,42.6438055038452,0.25,0.5,2,4
