"","sr_band1","sr_band2","sr_band3","sr_band4","sr_band5","sr_band7","ndvi","evi","savi","sr","ndsvi","greenness","brightness","wetness","total_shrubs","elevation","folded_aspect_ns","slope","folded_aspect","tpi","tri","roughness","flowdir","satvi"
"1",695,926,1192,1699,2822,2660,0.175371843652715,0.348262123918121,0.26301227736469,1.4253355704698,0.406078724464375,-688.0066,3333.8221,-2983.5146,0.67,1811,73.8865966796875,11.0434436798096,118.886596679688,0.375,4.625,13,16,0.609042221945448
"2",769,1093,1494,1941,2521,2221,0.130131004366812,0.217475917096429,0.195168097802358,1.29919678714859,0.255790784557908,-618.2098,3574.1109,-2418.321,2,1377,180,0.954841256141663,135,-0.875,0.875,2,4,0.383638401195368
"3",636,909,1290,1909,3148,3059,0.193497968115036,0.317110655737705,0.290201593999062,1.47984496124031,0.418657052726453,-673.4412,3628.809,-3443.4835,1.33,2021,135,12.2994165420532,90,-1.75,5,18,1,0.627914836093275
"4",1182,1588,2054,2732,3486,3228,0.141663184287505,0.273740310077519,0.2124725791288,1.3300876338851,0.258483754512635,-924.0644,5068.745,-3378.9122,0,1567,112.380142211914,4.38048696517944,157.380142211914,-0.875,1.875,6,8,0.387690641638841
"5",1174,1599,2071,2509,3185,2921,0.0956331877729258,0.1786005545588,0.143434122912346,1.21149203283438,0.211948249619482,-1000.3494,4803.7546,-2996.668,23.33,1389,90,2.86240530014038,135,0.375,1.125,3,16,0.317892133548939
"6",815,1129,1523,2021,2642,2409,0.140519187358916,0.24665676077266,0.210749047820567,1.32698621142482,0.268667466986795,-656.2072,3729.5057,-2584.2057,37.34,1761,78.6900634765625,1.21711814403534,123.690063476562,-0.25,0.5,2,32,0.402952826791502
"7",1037,1333,1711,2052,2617,2427,0.0906191868190274,0.187713310580205,0.135910721402949,1.19929865575687,0.209334565619224,-870.9288,3981.7363,-2453.4156,22,1539,45,5.05115270614624,90,-0.125,1.875,7,32,0.313965576989719
"8",736,1029,1418,1804,2415,2200,0.119801365611421,0.201335280617567,0.179674166020171,1.2722143864598,0.26010957474563,-637.2134,3384.251,-2364.5318,42.66,1722,63.4349365234375,4.26269292831421,108.434936523438,1,2,6,32,0.390113473327247
"9",886,1185,1561,1976,2631,2265,0.117331071529545,0.220838654746701,0.175971731448763,1.26585522101217,0.255248091603053,-710.3176,3735.0232,-2467.0256,2,1531,120.963760375977,14.9627208709717,165.963760375977,-0.625,5.875,22,8,0.382826475849732
"10",781,1028,1336,1769,2566,2244,0.139452495974235,0.275550464553901,0.209145065206891,1.32410179640719,0.315222962583291,-654.155,3385.0255,-2501.7232,30.67,1350,95.9061279296875,6.9262490272522,140.906127929688,-0.125,2.875,8,16,0.472773862908392
"11",890,1178,1524,1938,2691,2218,0.119584055459272,0.234800362976407,0.179350180505415,1.27165354330709,0.276868327402135,-707.879,3698.9664,-2493.8433,6,1342,113.198593139648,5.43800783157349,68.1985931396484,0.25,2.25,8,1,0.415253232119559
"12",702,1005,1335,1702,1987,1608,0.120842937108989,0.206272482014388,0.181234567901235,1.2749063670412,0.19626730885009,-484.523,3066.8304,-1747.4848,0.67,1428,98.1301040649414,1.6876049041748,53.1301040649414,-0.125,0.625,2,1,0.294356659142212
"13",1018,1332,1710,2050,2615,2424,0.0904255319148936,0.181779298545766,0.135620263262864,1.19883040935673,0.209248554913295,-864.321,3971.8536,-2455.7007,22,1539,45,5.05115270614624,90,-0.125,1.875,7,32,0.313836550687782
"14",1151,1556,1991,2343,2868,2538,0.0812182741116751,0.155545735749006,0.121813357942092,1.1767955801105,0.180489812718666,-948.2062,4498.0241,-2582.012,28.67,1403,112.380142211914,12.9424085617065,157.380142211914,-4,6,21,16,0.270706862845972
"15",1219,1572,2030,2674,3602,3285,0.136904761904762,0.281838074398249,0.205335317249442,1.31724137931034,0.279119318181818,-978.0334,5061.4079,-3497.8568,0,1432,18.4349365234375,0.754894495010376,63.4349365234375,-0.25,0.25,1,128,0.418641810918775
"16",973,1240,1641,2125,3045,2632,0.128518321826872,0.258851214033586,0.192751891676623,1.29494210847044,0.299615877080666,-798.0968,4076.0889,-2928.8017,18,1731,180,0.954841256141663,135,-0.625,0.875,3,8,0.449375866851595
"17",798,1090,1360,1858,2868,2470,0.154754505904288,0.308626673277144,0.232095696753146,1.36617647058824,0.356669820245979,-697.496,3592.1794,-2828.0886,9.34,1746,45,0.337614715099335,90,-0.125,0.125,1,64,0.534941468605889
