"","sr_band1","sr_band2","sr_band3","sr_band4","sr_band5","sr_band7","ndvi","evi","savi","sr","ndsvi","greenness","brightness","wetness","total_shrubs","elevation","slope","folded_aspect","tpi","tri","roughness","flowdir","satvi"
"34",713,981,1265,1744,2378,2188,0.159189099368561,0.300313479623824,0.238743977404885,1.37865612648221,0.305517430688993,-580.5488,3245.0945,-2364.2593,2,1854,18.2538623809814,41.3785152435303,-0.875,7.875,25,64,0.45821325648415
"35",1103,1471,1795,2240,3205,2760,0.110285006195787,0.234778938482642,0.16540701276174,1.24791086350975,0.282,-951.0246,4411.3705,-3014.4326,38.67,1475,1.8175220489502,21.8014087677002,0.25,0.75,2,1,0.422957704229577
"36",820,1118,1383,2068,3100,2449,0.1984931903796,0.406094379890918,0.297696653628857,1.49530007230658,0.383002453714031,-579.0602,3816.084,-2966.0888,74,2050,23.2185859680176,69.0755004882812,-3.5,10,34,1,0.574439611910338
"37",994,1314,1599,2099,3271,2601,0.135208220659816,0.294880868129276,0.202784912802488,1.31269543464665,0.343326488706366,-827.6374,4125.1674,-3068.7511,40.66,1517,11.9991388320923,46.1233062744141,4,6.25,19,128,0.514936864798275
"38",1116,1525,1993,2582,3442,3015,0.128743169398907,0.238616107600065,0.193093650967107,1.29553437029604,0.266605335786569,-899.2814,4847.8612,-3276.8887,0,1498,1.6876049041748,36.8698978424072,0.125,0.625,2,64,0.399871216999356
"39",1341,1826,2310,2637,3127,2826,0.0661006670709521,0.126931138886732,0.0991409802930773,1.14155844155844,0.150266691189994,-1129.978,5107.4373,-2778.2507,40,1867,2.16078901290894,38.6598052978516,0.125,0.875,3,128,0.225379310344828
"40",592,784,920,1980,2157,1664,0.36551724137931,0.865730153544593,0.548181348043441,2.15217391304348,0.402014949626259,-5.52979999999997,3019.3166,-2003.7449,86.67,1777,17.0979232788086,106.699249267578,0.625,7.125,26,4,0.602924451665313
"41",740,977,1236,1843,2618,2147,0.197141929197791,0.409029649595687,0.295664880662445,1.4911003236246,0.358588479501816,-501.0092,3359.0826,-2515.2217,13.34,1390,5.08888754974322e-14,135,0,0,0,32,0.537812945907381
"42",759,960,1132,1806,2834,2317,0.229407760381212,0.579735076552555,0.344053088310362,1.59540636042403,0.429147755925366,-529.667,3369.2299,-2782.312,58.67,1390,5.08888754974322e-14,135,0,0,0,128,0.643640489096181
"43",707,1023,1284,1842,2480,2089,0.178502879078695,0.328660619625398,0.267711498480729,1.43457943925234,0.317747077577046,-510.2482,3342.8415,-2373.1291,31.33,1631,5.08888754974322e-14,135,0,0,0,32,0.476557311727985
"44",625,843,1037,1629,2551,2009,0.22205551387847,0.467688418391531,0.333020813800863,1.57087753134041,0.421962095875139,-435.5562,3000.8033,-2481.1072,33.33,1538,1.06752026081085,161.565048217773,0.125,0.375,2,16,0.632854953323115
"45",669,936,1208,1843,2804,2387,0.208128482464766,0.389618358080746,0.31214156971981,1.52566225165563,0.397806580259222,-517.6008,3387.4067,-2816.4486,9.33,1525,1.21711814403534,33.690071105957,0.25,0.5,2,1,0.596635514018692
"46",574,776,988,1707,2417,1961,0.266790352504638,0.539627739417592,0.400111296605454,1.72773279352227,0.419676945668135,-302.231,2952.9418,-2380.1741,31.33,1561,4.53271436691284,131.987213134766,1.875,2.375,6,8,0.62942299221847
"47",1070,1374,1783,2540,3656,3045,0.175109877399954,0.362965093977752,0.262634439690066,1.42456533931576,0.344364772936201,-777.0346,4713.9706,-3522.9232,4,1817,1.96786379814148,120.963760375977,0,0.75,3,2,0.516499678279254
"48",1159,1531,1854,2395,3520,3245,0.127324076253236,0.280165717244951,0.190963642781504,1.29180151024811,0.310011164867882,-1045.1004,4735.5657,-3472.8811,45.33,1712,0.954841256141663,135,0.375,0.375,1,4,0.464973485905666
"49",801,1077,1319,2024,3250,2625,0.210888423571642,0.448302174742465,0.31628532974428,1.53449583017437,0.422630772597943,-609.5862,3799.7765,-3197.9329,42.66,1892,3.05436992645264,96.3401947021484,-0.75,1.25,5,2,0.633876791771529
"50",1054,1417,1794,2350,3495,2908,0.134169884169884,0.26679462571977,0.201230546507419,1.30992196209588,0.32161089052751,-884.3618,4538.6232,-3332.7214,10.66,1686,5.22670364379883,14.9314155578613,1.625,2.875,8,2,0.482370734473958
"51",1165,1499,1827,2151,2923,2632,0.081447963800905,0.185079401348109,0.122156591680282,1.17733990147783,0.230736842105263,-1017.7688,4310.1717,-2710.9276,76,1638,1.6876049041748,36.8698959350586,0.125,0.625,2,1,0.346068834859488
"52",1315,1714,2140,2630,3467,2955,0.10272536687631,0.2184184719622,0.154071900220103,1.22897196261682,0.236668450151596,-1051.17,5080.7605,-3154.1499,63.34,1593,0.754894495010376,153.434951782227,-0.25,0.25,1,16,0.354971020954079
"53",705,935,1395,2472,2710,1917,0.278510473235066,0.484654846548465,0.417711700064641,1.77204301075269,0.320341047503045,-50.4357999999999,3814.4949,-2423.6819,1.33,2021,12.2994165420532,90,-1.75,5,18,1,0.480453050785532
"54",770,1090,1514,2059,3071,2569,0.152532885530367,0.253771652076737,0.228767314957325,1.35997357992074,0.33958560523446,-649.2282,3844.553,-3016.2053,0,1550,14.8510627746582,143.130096435547,3.375,7.125,22,8,0.509322865554465
"55",776,1057,1414,1819,2303,1873,0.125270646458398,0.225802854594112,0.187876913561157,1.28642149929279,0.239171374764595,-559.5298,3340.7116,-2085.787,0.67,1428,3.63139343261719,158.198593139648,0.375,1.375,5,4,0.358708809683927
"56",891,1197,1635,2401,2964,2504,0.189791873141724,0.346324260783073,0.284652545522111,1.46850152905199,0.28897586431833,-524.8174,4180.7829,-2811.2299,0.67,1926,17.7753162384033,36.0273742675781,5.375,8.625,25,128,0.433416675725622
"57",785,1166,1656,2264,3135,2700,0.155102040816327,0.240753939969906,0.232623389873741,1.36714975845411,0.308703819661866,-639.0726,4113.8595,-3088.8059,0,1500,9.19103336334229,169.508529663086,-3.125,5.375,14,4,0.463007408953355
"58",632,812,1183,2474,2306,1569,0.353021602406344,0.667804676184565,0.52946001367054,2.09129332206255,0.321868730295214,216.8478,3510.3772,-1992.972,0,2197,17.0357418060303,180,-1.375,7.875,27,8,0.482733916033816
"59",1134,1533,2088,2639,3198,2764,0.116564417177914,0.206738706288459,0.174828133262824,1.26388888888889,0.209988649262202,-839.7938,4838.4048,-2936.5265,0,1427,8.6913013458252,117.552810668945,1.75,3.75,12,4,0.314953182635014
"60",978,1202,1480,2019,2423,2058,0.154044012575021,0.377980364656381,0.231033004714959,1.36418918918919,0.241609018703561,-620.7752,3692.2822,-2173.6917,31.33,1620,2.05277514457703,9.46232223510742,0.25,0.75,3,128,0.362367106442936
"61",965,1250,1630,2060,2581,2400,0.116531165311653,0.233517975453459,0.174773065980219,1.2638036809816,0.225837093327001,-766.9882,3884.5411,-2455.0569,68,1761,2.71992325782776,172.874984741211,-1,1.25,6,4,0.338715422058649
"62",1056,1369,1863,2418,3539,2897,0.129642606867554,0.244407257354236,0.194441200513839,1.29790660225443,0.310255460940392,-850.2588,4602.879,-3359.2636,0,1538,6.20105361938477,77.47119140625,-2,3,10,2,0.465340120314669
"63",638,833,1060,1684,2157,1765,0.227405247813411,0.478527607361963,0.341045727819275,1.58867924528302,0.34100093254585,-334.8184,2919.742,-2042.0468,40.67,1874,4.05866432189941,48.366455078125,-0.125,1.625,5,64,0.511421911421911
"64",803,1035,1369,1853,2668,2177,0.150217256362508,0.299097762946484,0.225290923196276,1.35354273192111,0.321773594253158,-605.3604,3479.6617,-2527.5973,8,1414,2.05277514457703,170.537673950195,-0.5,0.75,3,8,0.482600619195046
"65",1006,1344,1886,2428,2810,2294,0.1256374594344,0.218548387096774,0.188434349287287,1.28738069989396,0.196763202725724,-651.9608,4328.201,-2493.9098,4.67,1401,1.8175220489502,21.8014068603516,-0.25,0.75,2,1,0.295113382305973
"66",767,1171,1588,2093,2410,1871,0.137190980711763,0.215094982536843,0.205758522341437,1.31801007556675,0.2056028014007,-487.3912,3665.7265,-2110.2089,0,1548,3.37228679656982,36.8698978424072,-0.875,1.375,4,64,0.308365637113918
"67",898,1166,1597,2096,2578,2030,0.135120498239913,0.252326051779935,0.202653309868688,1.31246086412023,0.23497005988024,-577.3188,3779.7742,-2289.685,3.34,1634,13.6557855606079,165.963760375977,2.375,5.875,19,8,0.352412884684469
"68",770,933,1250,1681,2132,1783,0.14704878880928,0.316260639859114,0.220535561998977,1.3448,0.260792430514488,-507.182,3075.7112,-1959.2023,18.67,1714,2.56950283050537,156.801406860352,1.625,1.625,4,8,0.391130820399113
