"","sr_band1","sr_band2","sr_band3","sr_band4","sr_band5","sr_band7","ndvi","evi","savi","sr","ndsvi","greenness","brightness","wetness","total_shrubs","elevation","folded_aspect_ns","slope","folded_aspect","tpi","tri","roughness","flowdir","satvi","tndvi","lat"
"48",1256,1702,2001,2200,2596,2483,0.0473696738871697,0.103927303112597,0.0710460549803641,1.09945027486257,0.129432238416359,-280.1466,4715.4901,1604.9013,25,1422,1.44109380245209,0.0963458865880966,43.5589061975479,0.25,2.25,7,1,0.194127243066884,52.3684836943585,2115532.14557242
"49",1134,1605,1892,2499,3123,2874,0.138237303575495,0.283804002244249,0.207332346578618,1.3208245243129,0.245463609172483,1.50770000000028,5016.3593,1715.1177,5,1550,5.39811849594116,0.0591503791511059,39.6018815040588,0.75,1.5,5,32,0.368158708005184,56.9118651787748,2161271.87545307
"50",1119,1633,2057,2566,3239,3005,0.110101665585118,0.195273536407581,0.165134638261058,1.24744773942635,0.223187311178248,-51.1134,5220.9556,1781.0885,0,1371,1.57079637050629,1.77635683940025e-15,43.4292036294937,0,0,0,64,0.334749362786746,55.5050832792559,2167555.52927606
"51",983,1502,1866,2370,3058,2877,0.118980169971671,0.203406247477601,0.178449191549628,1.27009646302251,0.242079610073111,-35.2956999999998,4834.6462,1614.8454,30,1669,1.6373645067215,0.0625570043921471,43.3626354932785,0.125,1.375,4,1,0.363082546451416,55.9490084985836,2129332.81260846
"52",1440,2116,2479,2868,3816,3691,0.072751075369366,0.140069134379951,0.109116409537167,1.15691811214199,0.212390786338364,-306.2344,6232.0989,2041.4863,0,1231,5.96143484115601,0.0131753943860531,39.038565158844,0.25,0.25,1,64,0.318560876816774,53.6375537684683,2134356.6855798
"53",1308,1775,2061,2404,3312,3010,0.0768197088465846,0.172848216085467,0.115216661068189,1.16642406598738,0.232830820770519,-252.7499,5251.774,1837.7875,30,1225,4.82304620742798,0.0377128832042217,40.176953792572,0.125,0.875,3,32,0.349213734065321,53.8409854423292,2134932.79610683
"54",1794,2359,2684,3080,3535,3121,0.0687022900763359,0.172774869109948,0.103044496487119,1.14754098360656,0.136838720051455,-281.9355,6421.3563,2356.0958,30,1191,1.57079637050629,0.0333209969103336,43.4292036294937,-0.75,0.75,2,2,0.205241578905057,53.4351145038168,2201467.6933534
"55",1520,2031,2366,2734,3181,3141,0.072156862745098,0.166335201591032,0.108224683854524,1.15553677092139,0.146926266450334,-266.3357,5748.7103,1874.2296,30,1302,1.89254689216614,0.0131753943860531,43.1074531078339,-0.25,0.25,1,128,0.220369535826949,53.6078431372549,2202461.99272363
"56",1341,1825,2054,2363,2789,2616,0.0699569843785375,0.166828636216391,0.104923599320883,1.15043816942551,0.151765434647945,-244.3672,4997.7776,1724.966,25,1315,0.463647603988647,0.0186317432671785,44.5363523960114,0.5,0.5,1,1,0.227624651594921,53.4978492189269,2201528.0044865
"57",1371,1787,2052,2294,2717,2515,0.0556833870225495,0.139900566539484,0.0835154722190268,1.11793372319688,0.139442231075697,-277.673,4901.6354,1719.3099,25,1312,5.49778699874878,0.0235658623278141,39.5022130012512,-0.5,0.75,2,32,0.209141419436,52.7841693511275,2201815.95535684
"58",913,1259,1612,2235,2667,2226,0.161944372238108,0.307775911471199,0.242884990253411,1.38647642679901,0.246552932928254,156.617,4229.419,1594.8016,20,1580,5.68313503265381,0.189544707536697,39.3168649673462,0.25,4.5,16,32,0.369786189975464,58.0972186119054,2168797.76357035
"59",889,1197,1450,2077,2652,2232,0.17777147717607,0.381340469529254,0.266619418851878,1.43241379310345,0.293027791321307,131.5502,4015.2354,1492.2034,35,1682,2.97644400596619,0.0506463386118412,42.0235559940338,-0.375,1.125,4,2,0.439488117001828,58.8885738588035,2187757.01794387
"60",1222,1776,2121,2741,3365,3048,0.127519539284245,0.245914643820403,0.191259640102828,1.29231494578029,0.226759022967554,-6.75619999999981,5486.5443,1920.468,30,1436,3.14159274101257,0.0166651234030724,41.8584072589874,0.375,0.375,1,4,0.340107536680944,56.3759769642123,2179263.63692734
"61",800,1160,1391,2274,2147,1776,0.240927694406548,0.477710452283056,0.361342245259855,1.63479511143063,0.21368004522329,407.6124,3799.3954,1429.8896,0,1484,0.141897052526474,0.0294542610645294,44.8581029474735,-0.625,0.625,2,64,0.320474777448071,62.0463847203274,2199230.22660843
"62",1265,1749,2021,2528,2947,2612,0.111453066608046,0.245283018867925,0.167161226508408,1.25086590796635,0.186392914653784,-62.8577999999997,5075.5853,1833.2552,25,1428,4.54724025726318,0.0506463386118412,40.4527597427368,0.75,1.25,4,32,0.279561235785448,55.5726533304023,2202058.79264544
"63",918,1324,1583,2137,2876,2618,0.148924731182796,0.291517575247316,0.223357075661873,1.34996841440303,0.289975330791657,17.3472,4340.7553,1486.2512,30,1335,1.49402439594269,0.0542733334004879,43.5059756040573,0.125,1.125,4,1,0.434914228052472,57.4462365591398,2201563.00016939
"64",1148,1577,1986,2613,2820,2304,0.136333985649054,0.264780405405405,0.204478747689966,1.31570996978852,0.173533083645443,133.6545,4899.0219,1899.2215,25,1257,0.110657222568989,0.0753187909722328,44.889342777431,-0.25,1.75,6,64,0.260272547591803,56.8166992824527,2164710.3133143
"65",1054,1536,1955,2346,2428,2043,0.0909090909090909,0.158376539209332,0.136347785656166,1.2,0.107916951859457,1.24020000000036,4509.7917,1728.4481,0,1371,3.04511880874634,0.371257275342941,41.9548811912537,-2,9.25,27,4,0.161856963613551,54.5454545454545,2160092.97118452
