"","sr_band1","sr_band2","sr_band3","sr_band4","sr_band5","sr_band7","ndvi","evi","savi","sr","ndsvi","greenness","brightness","wetness","total_shrubs","elevation","slope","folded_aspect","tpi","tri","roughness","flowdir"
"11",690,994,1257,1854,2688,2310,0.191899710703954,0.35350544765514,0.287803310300498,1.47494033412888,0.362737642585551,127.5682,3684.7446,1326.3452,40,1421,0.0600203424692154,40.8756136894226,-0.375,1.375,5,8
"12",372,663,479,4529,1839,807,0.80870607028754,2.19440832249675,1.21293800539084,9.45511482254697,0.586712683347714,2996.8317,3976.7292,1774.8458,0,1301,0.0176758281886578,41.0730092525482,-0.375,0.375,1,32
"13",692,1035,1041,4456,2226,1278,0.621247953429143,1.54861237076002,0.931787175989086,4.2804995196926,0.362718089990817,2437.3869,4694.6924,1998.4615,0,1274,0,43.4292036294937,0,0,0,128
"14",955,1396,1657,2931,3347,2705,0.277680906713165,0.55764685284076,0.416475972540046,1.76885938442969,0.337729816147082,572.5577,5042.1415,1918.9006,0,1275,0,43.4292036294937,0,0,0,128
"15",1260,1780,2102,2458,3200,2938,0.0780701754385965,0.158334815869062,0.117092424076307,1.16936251189343,0.207091663523199,-213.4296,5246.126,1826.3694,20,1277,0.0294542610645294,43.5711007118225,-0.125,0.625,2,1
"16",1037,1469,1739,2370,2935,2655,0.153565344366026,0.313774241670811,0.230319990266456,1.36285221391604,0.255883611467694,60.0892000000003,4672.2504,1622.3877,20,1331,0.0649937465786934,44.3052617311478,-0.875,1.625,6,128
"17",803,1103,1287,2194,2740,2185,0.260557311117495,0.582231351906535,0.390779836277467,1.7047397047397,0.360814502110752,351.9706,3952.376,1527.1893,25,1773,0.20603321492672,40.2077808380127,-1.375,4.625,14,16
"18",1296,1747,1991,2496,3297,2910,0.112547359037219,0.267308913825958,0.168802228412256,1.25364138623807,0.246974281391831,-120.8901,5224.1132,1875.5825,10,1280,0.0300372242927551,39.304817199707,-0.125,0.625,2,64
"19",1246,1713,1963,2429,3019,2778,0.106102003642987,0.239564055110014,0.159134889015367,1.23739174732552,0.211963067041349,-123.6417,5028.5823,1739.2027,20,1309,0.0294542610645294,44.2146018147469,-0.375,0.625,3,128
"20",1128,1538,1820,2428,3273,2875,0.143126177024482,0.310902024953978,0.214663999058491,1.33406593406593,0.285293540153151,0.393000000000086,4953.8313,1769.2153,20,1385,0.0294542610645294,43.5711007118225,0.625,0.875,3,1
"21",1296,1710,1960,2424,3130,2773,0.105839416058394,0.25979843225084,0.158741019500513,1.23673469387755,0.229862475442043,-132.5556,5066.5471,1817.0449,25,1337,0.0917860493063927,43.3385437726974,0.375,2.125,6,1
"22",1462,2055,2468,2991,3612,3196,0.0958050925077853,0.191294806144843,0.143694477516256,1.21191247974068,0.188157894736842,-117.9395,6098.0395,2209.5983,0,1273,0.0242908541113138,42.8887841701508,-0.375,0.625,2,2
"23",992,1292,1589,1986,2667,2443,0.111048951048951,0.243200196030385,0.166550132848553,1.24984266834487,0.253289473684211,-83.0853999999999,4153.5991,1424.5689,15,1303,0.0294542610645294,43.2873066663742,0.125,0.625,2,1
"24",906,1499,1418,3690,2412,1723,0.44479248238058,1.05107327905255,0.667123421748067,2.60225669957687,0.259530026109661,1413.7555,4860.4279,1948.563,0,1269,0.0186317432671785,42.9655561447144,-0.5,0.5,1,128
"25",1126,1534,1787,2286,2872,2572,0.122514117358213,0.273334794040316,0.183748619123604,1.27923894795747,0.23288259283108,-50.8909999999998,4656.9548,1647.6546,30,1273,0.0186317432671785,42.9655561447144,0.5,0.5,1,4
"26",1009,1326,1646,2154,2967,2640,0.133684210526316,0.284530077293604,0.200499934219182,1.3086269744836,0.286364621721223,-18.5531,4438.2341,1560.2691,25,1331,0.0333209969103336,43.4292036294937,0,0.75,2,1
"27",1160,1604,1816,2187,2872,2606,0.0926804896327754,0.211564781021898,0.139003372049457,1.20429515418502,0.225255972696246,-173.9052,4660.0209,1635.3172,0,1281,0.0300372242927551,42.4464099407196,0.5,0.75,3,2
"28",942,1292,1504,2087,2920,2541,0.162350320245057,0.36014331603657,0.243491577335375,1.3876329787234,0.320072332730561,32.9423999999998,4256.0208,1525.0499,20,1579,0.115257270634174,42.9011292457581,0,2.75,9,1
"29",1092,1575,1846,2287,2689,2474,0.106702153399468,0.213084654039428,0.160033869602032,1.23889490790899,0.185887541345094,-71.1810999999997,4620.4835,1608.6493,0,1321,0.0166651234030724,41.8584072589874,-0.375,0.375,1,16
"30",855,1229,1593,2155,3129,2836,0.149946638207044,0.265019334150712,0.224889955982393,1.35279347143754,0.325285895806862,32.1124000000001,4433.4838,1510.054,20,1297,1.77635683940025e-15,40.2876110076904,0,0,0,128
"31",973,1402,1593,2087,2874,2606,0.134239130434783,0.284005979073244,0.201331340850428,1.31010671688638,0.286769644056414,-56.3567000000001,4357.8548,1504.8491,30,1298,1.77635683940025e-15,43.4292036294937,0,0,0,128
"32",956,1333,1592,2286,3288,2963,0.178958225889634,0.37159991432855,0.268402733015341,1.43592964824121,0.347540983606557,72.7795000000002,4650.9357,1585.4562,0,1285,0.0166651234030724,41.8584072589874,-0.625,0.625,1,8
"33",926,1299,1423,1919,2320,1982,0.148414123279473,0.352974665528039,0.222587883320868,1.34855938158819,0.239647341704515,20.8187,3798.2917,1407.1883,30,1266,0.0474716164171696,42.7681605815887,-0.125,1.125,4,2
"34",1236,1744,1957,2618,2849,2244,0.14448087431694,0.324592417992536,0.216697628674462,1.33776188042923,0.185601331668747,99.4312,4968.5314,1983.9368,0,1258,0.101372614502907,44.0399296283722,-0.5,2.25,9,128
"35",1081,1435,1622,2126,2742,2416,0.134471718249733,0.335865653738505,0.201680672268908,1.31072749691739,0.256645279560037,-38.8667999999998,4347.0563,1556.3646,25,1259,0.0300372242927551,39.6996083259583,0.5,0.75,3,32
"36",1220,1615,1827,2268,2936,2654,0.107692307692308,0.270154373927959,0.161518740080576,1.24137931034483,0.232836447617048,-134.6655,4760.4792,1669.9891,25,1250,0.0636516436934471,40.0902156829834,-0.25,1.5,4,16
"37",962,1353,1642,2182,2371,2207,0.141213389121339,0.280082987551867,0.211792391162243,1.32886723507917,0.181659606279591,68.0679000000001,4167.8135,1426.3498,10,1729,8.88178419700125e-16,43.4292036294937,0,0,0,128
"38",1242,1658,1888,2336,3073,2917,0.106060606060606,0.257471264367816,0.15907207953604,1.23728813559322,0.238863132432977,-164.4216,4958.9561,1641.7093,0,1238,0.0300372242927551,39.304817199707,0.5,0.75,3,32
"39",937,1201,1342,1792,2259,1828,0.143586470963625,0.399290150842946,0.215345350135588,1.33532041728763,0.254651485698417,8.06519999999995,3587.6129,1394.921,5,1314,0.198891684412956,44.4808539152145,-3.5,4.5,17,1
"40",662,967,1005,1589,1883,1462,0.225134926754048,0.549905838041431,0.337637309693583,1.58109452736318,0.304016620498615,176.0545,2929.6799,1169.7553,20,1889,0.376966148614883,39.5767016410828,2.75,9.75,35,32
"41",622,860,889,2627,2207,1527,0.494311717861206,1.31786472550804,0.741362149864923,2.95500562429696,0.425710594315245,1084.702,3525.0418,1457.1505,0,1670,0.0474716164171696,39.6265678405762,-0.5,1.25,5,32
"42",1515,2017,2290,2681,3441,3219,0.0786562059947697,0.193200909180749,0.117972442924671,1.1707423580786,0.200837550165765,-277.398,5768.6453,1968.5251,20,1312,0.0186317432671785,43.8928512334824,0.5,0.5,1,1
"43",1418,2051,2318,3079,3762,3414,0.14100426162683,0.299464819770187,0.211486799444187,1.32830025884383,0.2375,2.63050000000027,6152.1133,2143.8149,0,1336,0.0186317432671785,41.3947596549988,0.5,0.5,1,4
"44",1288,1846,2178,2712,3209,2792,0.10920245398773,0.218101617382781,0.163786933851344,1.24517906336088,0.191386671616855,-51.2323999999999,5436.2808,1999.9696,30,1383,0.0294542610645294,44.8581029474735,0.125,0.625,2,64
"45",1335,1745,1985,2452,3424,3060,0.105251295920667,0.268359958625445,0.157859154929577,1.2352644836272,0.266038084673692,-180.2182,5276.8943,1862.3332,15,1241,0.0166651234030724,41.8584072589874,0.125,0.375,2,4
"46",990,1299,1648,2019,2782,2670,0.101172620670848,0.206892705777381,0.151738241308793,1.2251213592233,0.255981941309255,-120.4479,4295.8421,1389.0773,20,1279,0.0186317432671785,41.3947596549988,0.5,0.5,1,16
"47",1007,1367,1705,2187,2921,2769,0.123843782117163,0.247662110779981,0.185741811175337,1.28269794721408,0.262862083873757,-51.3615999999997,4521.7485,1481.9405,20,1326,0.0526559092104435,43.1074531078339,0.5,1.25,4,1
"48",1139,1505,1761,2153,3012,2997,0.100153295861012,0.234590065828845,0.150210754885681,1.22260079500284,0.262099308610936,-199.0004,4698.4483,1448.5893,10,1248,0.0614426583051682,42.3523488044739,-0.25,1.5,5,2
"49",1187,1573,1874,2252,2481,2310,0.0916141541444498,0.205680705190989,0.137404580152672,1.2017075773746,0.139380022962113,-103.7782,4531.6857,1572.967,20,1241,0.0117845674976707,44.2146018147469,0,0.25,2,128
"50",1269,1640,1842,2150,2730,2436,0.0771543086172345,0.208926875593542,0.11571696931747,1.1672095548317,0.194225721784777,-219.1791,4606.8673,1655.4015,20,1239,0.0377128832042217,40.176953792572,-0.125,0.875,3,16
"51",1287,1710,1927,2350,2983,2699,0.0989010989010989,0.248210303954935,0.14833430742256,1.21951219512195,0.215071283095723,-162.9157,4941.0308,1739.8876,25,1308,0.0424662828445435,40.4850068092346,0.125,1.125,4,8
"52",1287,1710,1927,2350,2983,2699,0.0989010989010989,0.248210303954935,0.14833430742256,1.21951219512195,0.215071283095723,-162.9157,4941.0308,1739.8876,0,1308,0.0424662828445435,40.4850068092346,0.125,1.125,4,8
"53",1440,1917,2180,2782,3396,3056,0.121322047561467,0.297254592139048,0.181964735516373,1.27614678899083,0.218077474892396,-79.1567000000003,5657.366,1996.8797,25,1469,0.0526559092104435,39.9658603668213,0.25,1.25,4,16
"54",1135,1416,1685,2258,2715,2345,0.145320821709358,0.371450797355115,0.217953594522632,1.34005934718101,0.234090909090909,41.8181000000001,4435.9846,1619.8068,40,1317,0.0176758281886578,41.0730092525482,-0.625,0.625,1,8
"55",934,1132,1371,1790,2371,2183,0.132552989560266,0.347775564409031,0.198798038905583,1.3056163384391,0.267236771779797,-39.2100000000001,3689.9265,1248.9163,25,1344,0.0176758281886578,41.0730092525482,0.375,0.375,1,16
"56",1098,1546,1794,2258,3017,2838,0.114511352418559,0.242272347535505,0.171745835903763,1.25863991081382,0.254209104136354,-113.9058,4750.5738,1583.0936,20,1359,0.0636516436934471,41.6610116958618,0.625,1.625,6,8
"57",1097,1476,1765,2190,2786,2575,0.107458912768647,0.233336993521467,0.161167993932499,1.24079320113314,0.224346297517029,-95.7122999999999,4533.4718,1552.5282,5,1343,0.0372505597770214,42.3220548629761,-0.375,0.875,3,4
"58",1099,1546,1794,2191,2556,2346,0.0996235884567127,0.21056539726318,0.149416635302973,1.22129319955407,0.175172413793103,-96.2130999999998,4454.9894,1559.2515,30,1382,0.0558435767889023,42.9655561447144,0.375,1.375,4,1
"59",1327,1807,2034,2411,2610,2269,0.084814398200225,0.202101425967621,0.127207288269036,1.18534906588004,0.124031007751938,-138.9284,4868.1081,1812.4893,35,1272,8.88178419700125e-16,40.2876110076904,0,0,0,1
