"","sr_band1","sr_band2","sr_band3","sr_band4","sr_band5","sr_band7","ndvi","evi","savi","sr","ndsvi","greenness","brightness","wetness","total_shrubs","elevation","folded_aspect_ns","slope","folded_aspect","tpi","tri","roughness","flowdir","satvi"
"1",724,938,1205,1820,2021,1729,0.203305785123967,0.424606462303231,0.304908279623203,1.5103734439834,0.252944823310601,-359.354,3106.583,-1851.4829,39.34,1648,90,5.08888754974322e-14,135,0,0,0,64,0.379358437935844
"2",849,1164,1489,2191,3134,2537,0.190760869565217,0.368813701796785,0.286102431734819,1.47145735392881,0.355829547912611,-591.6388,3993.5635,-3004.0934,45.33,1970,152.102722167969,4.58231496810913,107.102722167969,0.125,1.875,7,2,0.533686601059803
"3",639,913,1277,1775,2787,2603,0.163171690694626,0.268001291572489,0.244717444717445,1.38997650743931,0.371555118110236,-634.6194,3377.7443,-2930.7338,1.34,1882,127.146690368652,9.78731536865234,82.1466903686523,-2,4,14,1,0.557264116127445
"4",718,1056,1439,1948,2852,2647,0.150280484204311,0.244805694497884,0.225387453874539,1.35371785962474,0.329293870892566,-678.1566,3668.3138,-2926.3178,1.33,1913,107.447189331055,8.6913013458252,152.447189331055,3.125,4.375,15,8,0.493883257602237
"5",733,1002,1293,1947,2723,2338,0.201851851851852,0.388499465367708,0.302731060021602,1.50580046403712,0.356075697211155,-513.8252,3515.7057,-2682.6221,62.67,1934,113.962493896484,13.8323030471802,158.962493896484,-3.625,6.125,20,16,0.534047055894435
"6",705,993,1335,1871,2692,2594,0.167186525265128,0.291653063445424,0.250740682987681,1.40149812734082,0.336975415942389,-639.927,3499.3863,-2807.2811,1.33,1793,84.4724578857422,7.39395809173584,39.4724578857422,0.25,3,12,2,0.505400372439479
"7",635,1044,1382,1767,2908,2902,0.122261035249285,0.181689476168004,0.183362438482299,1.27858176555716,0.355710955710956,-814.6842,3539.1533,-3147.951,0,1500,145.491470336914,9.19103336334229,169.508529663086,-3.125,5.375,14,4,0.533504253583498
"8",613,896,1162,1734,2865,2638,0.197513812154696,0.347974206107799,0.29621957534956,1.49225473321859,0.422895455674199,-607.1594,3311.6935,-3032.9039,0,1483,180,8.99714374542236,135,0.375,3.875,12,4,0.634264432029795
"9",547,789,968,1943,2781,2399,0.334936447956029,0.667899712289355,0.502318392581144,2.00723140495868,0.483595625500133,-248.3026,3258.1955,-2884.5414,0,2160,49.8990936279297,22.4891357421875,4.89909362792969,-7,10.25,40,128,0.725296706227497
"10",711,979,1385,2010,2952,2815,0.184094256259205,0.313220406935953,0.276100721543219,1.45126353790614,0.36130966105603,-627.3394,3707.0171,-3112.3833,10.66,1926,81.0273742675781,17.7753162384033,36.0273742675781,5.375,8.625,25,128,0.541902017291066
"11",1398,1937,2359,2731,3079,2900,0.0730844793713163,0.145289798468989,0.109615951281799,1.15769393810937,0.132401618242001,-1163.5216,5257.2718,-2732.0656,0,1270,116.565048217773,1.06752026081085,161.565048217773,0.5,0.5,1,4,0.198584168428795
"12",690,1023,1333,1837,2717,2376,0.158990536277603,0.270328255739112,0.238448194291121,1.37809452363091,0.341728395061728,-611.5872,3452.4178,-2708.8268,6.67,1568,168.4248046875,19.4436855316162,123.4248046875,2.125,8.375,26,4,0.512529317368226
"13",656,1011,1352,1803,2973,2815,0.142947702060222,0.225680544435548,0.214387577246078,1.3335798816568,0.374797687861272,-749.9578,3547.8632,-3152.631,0.67,1550,98.1300964355469,14.8510627746582,143.130096435547,3.375,7.125,22,8,0.562131545486071
"14",690,1006,1381,1734,2284,1957,0.113322632423756,0.182108955839868,0.169956668271545,1.25561187545257,0.246384720327422,-578.5054,3226.7986,-2158.6856,0.67,1428,156.801406860352,3.63139343261719,158.198593139648,0.375,1.375,5,4,0.369526667576047
"15",820,1120,1514,2011,2802,2419,0.140992907801418,0.251213101496158,0.211459367465608,1.32826948480845,0.298424467099166,-664.0572,3755.4038,-2713.761,0.67,1473,171.869903564453,6.72136926651001,126.869903564453,0.625,2.625,9,4,0.447584848835862
"16",727,1008,1463,1942,2889,2597,0.140675477239354,0.227294296289266,0.210982234620467,1.32740943267259,0.327665441176471,-667.0144,3658.1213,-2933.6897,4.67,1654,96.3401794433594,14.7948589324951,141.340179443359,0.875,6.125,19,16,0.491441700172315
"17",560,833,1160,2047,2976,2553,0.276582475834113,0.461210482529118,0.414809041309431,1.76465517241379,0.439071566731141,-328.4932,3496.8602,-3078.8463,2.67,1685,178.363418579102,8.30048370361328,136.636581420898,-2.125,4.125,13,4,0.658527740843708
"18",547,788,1065,1493,2347,2088,0.16731821735731,0.282956498743885,0.250928278288059,1.4018779342723,0.375732708089097,-513.3156,2833.3491,-2406.6279,0,1882,98.7905578613281,22.2431182861328,143.790557861328,1.375,10.125,30,16,0.563516483516483
"19",637,866,1149,2015,2978,2554,0.27370417193426,0.52389594676346,0.410491388844999,1.75369886858138,0.443179064695905,-383.5282,3511.4187,-3056.7432,0.67,1945,99.2461242675781,10.288595199585,144.246124267578,-2.25,4.75,15,16,0.664688067837674
"20",623,879,1220,1767,2953,2837,0.183126883160362,0.309704450232137,0.274644351464435,1.4483606557377,0.415288761083154,-662.3822,3406.0103,-3200.7384,0,1682,104.886268615723,18.8087368011475,59.8862686157227,0.25,8,25,1,0.622858512040254
"21",591,965,1468,2289,3643,3256,0.218525419217461,0.307928887555322,0.327744510978044,1.55926430517711,0.425552729407161,-558.4184,4113.8251,-3885.6792,0.67,1820,102.011474609375,21.8228321075439,57.011474609375,-3.375,9.375,34,1,0.638266653624181
"22",857,1105,1322,1942,3298,3167,0.189950980392157,0.449601160261059,0.284882830448767,1.46898638426626,0.427705627705628,-840.4314,3872.3657,-3510.9827,0.67,1702,6.34017944335938,4.31544876098633,51.3401794433594,-0.75,1.75,5,64,0.641489016340223
"23",697,955,1318,1768,2694,2617,0.145819831497084,0.252837397460389,0.218694313947837,1.34142640364188,0.342971086739781,-693.8866,3407.1853,-2839.7669,0,1733,163.610458374023,4.22268724441528,118.610458374023,1.5,2.25,6,4,0.514392523364486
"24",697,1033,1467,2046,3449,3123,0.164816396242528,0.257493551543182,0.24718941226697,1.39468302658487,0.403173311635476,-747.1084,3943.3419,-3639.6552,0,1568,132.273681640625,7.06204414367676,87.273681640625,-1.125,2.875,10,1,0.604698464354724
"25",477,669,761,2014,2221,1870,0.451531531531532,1.04294989179291,0.677175283732661,2.64651773981603,0.489604292421194,114.0802,2941.8059,-2230.8768,0,2145,98.7461624145508,12.3645534515381,53.7461624145508,-0.625,4.875,19,2,0.734283319362951
"26",917,1327,1836,2394,3605,3040,0.131914893617021,0.213514961353027,0.197848954024347,1.30392156862745,0.325124058077559,-832.5158,4547.3499,-3536.2316,0,1641,86.9872131347656,4.53271436691284,41.9872131347656,0.625,1.875,6,1,0.487641275383626
"27",986,1358,1784,2044,2328,2178,0.0679205851619645,0.121404557340306,0.101867572156197,1.1457399103139,0.132295719844358,-829.0852,3890.6258,-2100.5814,38,1432,72.6459732055664,7.95230865478516,27.6459732055664,0.25,3.25,11,1,0.198419452887538
"28",803,1151,1534,2021,2990,2479,0.136990154711674,0.233977130777361,0.205456335255238,1.31747066492829,0.32183908045977,-691.8344,3828.9901,-2884.8333,15.33,1637,172.874984741211,7.65304851531982,127.874984741211,-0.375,3.125,9,4,0.482705271300696
"29",811,1070,1310,1637,2078,1791,0.110960298608755,0.239350021958718,0.166412213740458,1.24961832061069,0.22668240850059,-628.2288,3126.4337,-1879.5482,48.66,1679,76.2637329101562,10.9249105453491,121.263732910156,-1.75,4.75,14,16,0.339973439575033
"30",869,1140,1456,1882,2403,2145,0.127621330137807,0.259661099597708,0.191403324846488,1.29258241758242,0.245400362788287,-669.2496,3533.3503,-2258.4165,40,1725,15.6422424316406,6.17384767532349,60.6422424316406,0.875,2.625,8,64,0.368052856587641
"31",903,1253,1694,2265,3447,3054,0.144228340490023,0.252319929297393,0.216315191312034,1.3370720188902,0.340984244310445,-826.6332,4333.7891,-3464.368,38.67,1640,174.289413452148,9.50865650177002,140.710586547852,-1.25,4,13,4,0.511426626470874
"32",969,1378,1792,2335,3294,3099,0.131572570874727,0.233227385963405,0.197334948516051,1.30301339285714,0.295320487613055,-897.0228,4466.1691,-3314.1294,36,1430,82.8749694824219,3.84366822242737,127.874969482422,0.375,1.625,5,32,0.442937186670599
"33",656,862,1086,1987,2448,1945,0.293198828506346,0.628487723214286,0.439726695949244,1.82965009208103,0.385398981324278,-206.2732,3254.1414,-2327.8146,24,1768,54.8658065795898,7.83262586593628,9.86580657958984,0.625,3.125,11,128,0.5780166926015
"34",865,1182,1553,2123,2638,2428,0.155059847660501,0.28761731759007,0.232558139534884,1.36703155183516,0.258888093533763,-639.2254,3853.2455,-2557.4448,48,1799,104.036239624023,5.88512945175171,149.036239624023,1.25,2.75,8,8,0.388285816533461
"35",921,1178,1599,2051,2893,2689,0.123835616438356,0.238472090323942,0.185727982468155,1.28267667292058,0.28806767586821,-802.461,3939.3501,-2879.2255,33.34,1661,56.3099365234375,1.72100615501404,101.309936523438,-0.375,0.625,3,16,0.432053422370618
"36",717,1044,1295,1946,2504,2181,0.200863930885529,0.375043207742828,0.301249421564091,1.5027027027027,0.31824164253751,-478.3766,3451.6541,-2426.0452,28.67,2289,116.995834350586,13.9195909500122,161.995834350586,-1.75,6,21,8,0.477299644690091
"37",934,1283,1697,2261,3243,2935,0.142496210207175,0.259238830667402,0.213717317165593,1.33235120801414,0.312955465587045,-815.551,4289.5022,-3230.0402,24,1687,0,0.954841256141663,45,-0.375,0.375,1,64,0.469385689707519
"38",813,1111,1330,1815,2775,2367,0.154213036565978,0.327835609030688,0.231282784930854,1.36466165413534,0.352009744214373,-696.9006,3526.4977,-2698.8062,48,1744,135,4.38048696517944,180,0.625,1.875,7,8,0.527950310559006
"39",1472,1957,2408,2819,3076,3006,0.0786301894011861,0.164980732177264,0.11793400286944,1.17068106312292,0.12180889861415,-1184.1842,5388.2294,-2752.8651,40.67,1699,135,0.337614715099335,90,0.125,0.125,1,2,0.182696690673717
"40",906,1198,1587,1986,2468,2232,0.111670864819479,0.21160373355961,0.167482859941234,1.25141776937618,0.217262638717633,-713.8688,3721.8966,-2313.7936,42.66,1787,9.46232223510742,2.90182161331177,35.5376777648926,-0.5,1.25,3,64,0.325853778818888
"41",994,1388,1792,2190,2895,2691,0.0999497739829232,0.181304664723032,0.149905838041431,1.22209821428571,0.235331768721997,-892.974,4221.7084,-2790.7079,46.66,1682,149.036239624023,4.16873979568481,104.036239624023,0.875,1.625,7,2,0.35296
"42",972,1326,1721,2236,3041,2727,0.130149102855699,0.244168405082496,0.195198989260897,1.2992446252179,0.277194456110878,-812.2544,4232.6942,-2944.0965,45.34,1589,66.0375137329102,13.8323030471802,21.0375137329102,-2.25,5.75,19,128,0.415748031496063
"43",684,966,1197,1672,2271,2053,0.165562913907285,0.318791946308725,0.248301097752222,1.3968253968254,0.309688581314879,-546.6152,3106.101,-2231.7379,33.34,1744,68.9624862670898,3.32143211364746,23.9624862670898,0,1.25,5,1,0.464465907452789
