"","sr_band1","sr_band2","sr_band3","sr_band4","sr_band5","sr_band7","ndvi","evi","savi","sr","ndsvi","greenness","brightness","wetness","total_shrubs","elevation","slope","folded_aspect","tpi","tri","roughness","flowdir","satvi"
"1",695,926,1192,1699,2822,2660,0.175371843652715,0.348262123918121,0.26301227736469,1.4253355704698,0.406078724464375,-688.0066,3333.8221,-2983.5146,0.67,1811,11.0434436798096,118.886596679688,0.375,4.625,13,16,0.609042221945448
"2",769,1093,1494,1941,2521,2221,0.130131004366812,0.217475917096429,0.195168097802358,1.29919678714859,0.255790784557908,-618.2098,3574.1109,-2418.321,2,1377,0.954841256141663,135,-0.875,0.875,2,4,0.383638401195368
"3",636,909,1290,1909,3148,3059,0.193497968115036,0.317110655737705,0.290201593999062,1.47984496124031,0.418657052726453,-673.4412,3628.809,-3443.4835,1.33,2021,12.2994165420532,90,-1.75,5,18,1,0.627914836093275
"4",1182,1588,2054,2732,3486,3228,0.141663184287505,0.273740310077519,0.2124725791288,1.3300876338851,0.258483754512635,-924.0644,5068.745,-3378.9122,0,1567,4.38048696517944,157.380142211914,-0.875,1.875,6,8,0.387690641638841
"5",815,1129,1523,2021,2642,2409,0.140519187358916,0.24665676077266,0.210749047820567,1.32698621142482,0.268667466986795,-656.2072,3729.5057,-2584.2057,37.34,1761,1.21711814403534,123.690063476562,-0.25,0.5,2,32,0.402952826791502
"6",1595,2056,2357,2798,3679,3446,0.0855480116391853,0.221452244652004,0.128309572301426,1.18710224862113,0.219019218025182,-1382.1066,5644.8833,-3402.5703,18,1256,3.05436992645264,173.659805297852,0.75,1.25,5,8,0.328501615174356
"7",781,1028,1336,1769,2566,2244,0.139452495974235,0.275550464553901,0.209145065206891,1.32410179640719,0.315222962583291,-654.155,3385.0255,-2501.7232,30.67,1350,6.9262490272522,140.906127929688,-0.125,2.875,8,16,0.472773862908392
"8",890,1178,1524,1938,2691,2218,0.119584055459272,0.234800362976407,0.179350180505415,1.27165354330709,0.276868327402135,-707.879,3698.9664,-2493.8433,6,1342,5.43800783157349,68.1985931396484,0.25,2.25,8,1,0.415253232119559
"9",650,875,1164,1635,2378,2183,0.168274383708467,0.314419225634179,0.252366494016789,1.40463917525773,0.34274421230943,-550.514,3064.3992,-2417.3067,0,1651,2.13429999351501,18.4349479675293,-0.375,0.875,3,64,0.514043754410727
"10",899,1254,1703,2181,2863,2328,0.123069001029866,0.211224038886434,0.184579739992277,1.28068115091016,0.254051686377573,-683.194,4028.3891,-2633.1789,10.67,1476,10.555380821228,161.565048217773,0.875,4.375,15,8,0.381035804226432
"11",560,774,1069,1541,2089,1998,0.180842911877395,0.314164004259851,0.271212411415438,1.44153414405987,0.32298923369221,-451.1732,2794.0732,-2157.3721,0,1694,3.10963296890259,12.52880859375,-0.25,1.25,4,128,0.484407155295235
