"","sr_band1","sr_band2","sr_band3","sr_band4","sr_band5","sr_band7","elevation","ndvi","evi","satvi","tndvi","sr","ndsvi","Latitude","folded_aspect_ns","brightness","greenness","wetness","slope","tpi","tri","roughness","flowdir","index57","green_ndvi","moisture_index","SLA_index","cluster","weights"
"1",724,938,1205,1820,2021,1729,1648,0.203305785123967,0.424606462303231,0.379358437935844,60.1652892561983,1.5103734439834,0.252944823310601,41.9044502,90,3106.583,-359.354,-1851.4829,5.08888754974322e-14,0,0,0,64,0.0778666666666667,0.319796954314721,-0.0523301223639677,0.620313565098841,"1",0.163500421282768
"2",639,913,1277,1775,2787,2603,1882,0.163171690694626,0.268001291572489,0.557264116127445,58.1585845347313,1.38997650743931,0.371555118110236,41.12447587,127.146690368652,3377.7443,-634.6194,-2930.7338,9.78731536865234,-2,4,14,1,0.0341372912801484,0.320684523809524,-0.221832529592284,0.457474226804124,"1",0.0743333846835575
"3",718,1056,1439,1948,2852,2647,1913,0.150280484204311,0.244805694497884,0.493883257602237,57.5140242102155,1.35371785962474,0.329293870892566,41.12463548,107.447189331055,3668.3138,-678.1566,-2926.3178,8.6913013458252,3.125,4.375,15,8,0.0372795053646117,0.29693741677763,-0.188333333333333,0.476749877630935,"1",0.0719759723214014
"4",733,1002,1293,1947,2723,2338,1934,0.201851851851852,0.388499465367708,0.534047055894435,60.0925925925926,1.50580046403712,0.356075697211155,41.12113768,113.962493896484,3515.7057,-513.8252,-2682.6221,13.8323030471802,-3.625,6.125,20,16,0.0760719225449516,0.320447609359105,-0.166167023554604,0.536215918479758,"1",0.0736233513940118
"5",695,926,1192,1699,2822,2660,1811,0.175371843652715,0.348262123918121,0.609042221945448,58.7685921826358,1.4253355704698,0.406078724464375,41.7325894,73.8865966796875,3333.8221,-688.0066,-2983.5146,11.0434436798096,0.375,4.625,13,16,0.0295512586647209,0.294476190476191,-0.248396372483964,0.441069574247144,"1",0.0624246720744781
"6",705,993,1335,1871,2692,2594,1793,0.167186525265128,0.291653063445424,0.505400372439479,58.3593262632564,1.40149812734082,0.336975415942389,41.70976776,84.4724578857422,3499.3863,-639.927,-2807.2811,7.39395809173584,0.25,3,12,2,0.0185395384033295,0.306564245810056,-0.179925487617795,0.476202596080428,"1",0.0518149218015538
"7",635,1044,1382,1767,2908,2902,1500,0.122261035249285,0.181689476168004,0.533504253583498,56.1130517624643,1.27858176555716,0.355710955710956,41.85943651,145.491470336914,3539.1533,-814.6842,-3147.951,9.19103336334229,-3.125,5.375,14,4,0.00103270223752151,0.257203842049093,-0.244064171122995,0.412464985994398,"1",0.0587250556450653
"8",769,1093,1494,1941,2521,2221,1377,0.130131004366812,0.217475917096429,0.383638401195368,56.5065502183406,1.29919678714859,0.255790784557908,41.89623853,180,3574.1109,-618.2098,-2418.321,0.954841256141663,-0.875,0.875,2,4,0.0632644453816955,0.279499011206328,-0.129986553115195,0.522476446837147,"2",0.0580114057626019
"9",613,896,1162,1734,2865,2638,1483,0.197513812154696,0.347974206107799,0.634264432029795,59.8756906077348,1.49225473321859,0.422895455674199,41.84433114,180,3311.6935,-607.1594,-3032.9039,8.99714374542236,0.375,3.875,12,4,0.0412502271488279,0.318631178707224,-0.245923026744945,0.456315789473684,"1",0.0496487335554348
"10",547,789,968,1943,2781,2399,2160,0.334936447956029,0.667899712289355,0.725296706227497,66.7468223978014,2.00723140495868,0.483595625500133,41.8190104,49.8990936279297,3258.1955,-248.3026,-2884.5414,22.4891357421875,-7,10.25,40,128,0.0737451737451737,0.422401171303075,-0.177392040643522,0.577071577071577,"1",0.0580974058253231
