"","sr_band1","sr_band2","sr_band3","sr_band4","sr_band5","sr_band7","ndvi","evi","savi","sr","ndsvi","greenness","brightness","wetness","total_shrubs","elevation","slope","folded_aspect","tpi","tri","roughness","flowdir","satvi"
"11",962,1353,1642,2182,2371,2207,0.141213389121339,0.280082987551867,0.211792391162243,1.32886723507917,0.181659606279591,68.0679000000001,4167.8135,1426.3498,10,1729,8.88178419700125e-16,43.4292036294937,0,0,0,128,0.272455462813006
"12",1224,1622,1829,2265,2907,2683,0.106497313141182,0.268472906403941,0.159726462327513,1.23838162930563,0.227618243243243,-144.848,4761.2086,1634.2185,20,1326,0.128917276859283,39.5022130012512,0.125,2.875,13,32,0.34139132270664
"13",622,860,889,2627,2207,1527,0.494311717861206,1.31786472550804,0.741362149864923,2.95500562429696,0.425710594315245,1084.702,3525.0418,1457.1505,0,1670,0.0474716164171696,39.6265678405762,-0.5,1.25,5,32,0.638462780558695
"14",1515,2017,2290,2681,3441,3219,0.0786562059947697,0.193200909180749,0.117972442924671,1.1707423580786,0.200837550165765,-277.398,5768.6453,1968.5251,20,1312,0.0186317432671785,43.8928512334824,0.5,0.5,1,1,0.301230044490971
"15",1288,1846,2178,2712,3209,2792,0.10920245398773,0.218101617382781,0.163786933851344,1.24517906336088,0.191386671616855,-51.2323999999999,5436.2808,1999.9696,30,1383,0.0294542610645294,44.8581029474735,0.125,0.625,2,64,0.287053364269142
"16",1139,1505,1761,2153,3012,2997,0.100153295861012,0.234590065828845,0.150210754885681,1.22260079500284,0.262099308610936,-199.0004,4698.4483,1448.5893,10,1248,0.0614426583051682,42.3523488044739,-0.25,1.5,5,2,0.393107782549492
"17",1440,1917,2180,2782,3396,3056,0.121322047561467,0.297254592139048,0.181964735516373,1.27614678899083,0.218077474892396,-79.1567000000003,5657.366,1996.8797,25,1469,0.0526559092104435,39.9658603668213,0.25,1.25,4,16,0.327086882453152
"18",1143,1585,1767,2191,2508,2444,0.107124810510359,0.25109558213905,0.160666919287609,1.23995472552349,0.173333333333333,-115.119,4472.8542,1467.607,25,1323,0.0117845674976707,39.5022130012512,0,0.25,2,32,0.259969594199509
"19",1104,1469,1646,2117,2616,2340,0.125166090884932,0.317043618739903,0.18772419290554,1.2861482381531,0.227592679493196,-60.1614999999998,4317.1179,1530.6435,25,1484,0.10403935611248,44.5006532669067,1.25,2.75,9,64,0.341348973607038
"20",986,1209,1346,2526,3062,2215,0.304752066115702,0.919576059850374,0.457069076823757,1.87667161961367,0.38929219600726,522.9781,4364.5323,1826.4252,0,1756,0.0372505597770214,42.9655561447144,0.375,0.875,3,2,0.583872065328343
"21",991,1316,1499,2017,2563,2313,0.147326507394767,0.361782371839642,0.220958339257785,1.34556370913943,0.261939931068439,-1.89350000000007,4069.0265,1415.0458,20,1694,0,43.4292036294937,0,0,0,128,0.392861538461538
"22",974,1378,1637,2317,2627,2274,0.171977744056652,0.351602895553257,0.257933999241371,1.41539401343922,0.232176360225141,159.1168,4350.8061,1585.0516,20,1424,0.0506463386118412,43.2640550136566,0.5,1.25,3,1,0.348223707351389
"23",928,1232,1510,1921,2115,1952,0.11979014864471,0.255469915464943,0.179659041235611,1.27218543046358,0.166896551724138,2.34460000000007,3749.0977,1299.8208,0,1320,0.198062047362328,41.7752661705017,-0.625,4.625,13,4,0.250310302027307
