"","sr_band1","sr_band2","sr_band3","sr_band4","sr_band5","sr_band7","ndvi","evi","savi","sr","ndsvi","greenness","brightness","wetness","total_shrubs","elevation","slope","folded_aspect","tpi","tri","roughness","flowdir","split"
"36",1335,1745,1985,2452,3424,3060,0.105251295920667,0.268359958625445,0.157859154929577,1.2352644836272,0.266038084673692,-180.2182,5276.8943,1862.3332,15,1241,0.0166651234030724,41.8584072589874,0.125,0.375,2,4,TRUE
"37",1286,1677,1902,2186,2435,2277,0.0694716242661448,0.179564997470916,0.104194692429987,1.14931650893796,0.122896011067558,-210.4221,4550.7609,1584.1212,0,1250,0.0343457013368607,43.1842249631882,-0.25,0.75,3,1,TRUE
"38",1007,1367,1705,2187,2921,2769,0.123843782117163,0.247662110779981,0.185741811175337,1.28269794721408,0.262862083873757,-51.3615999999997,4521.7485,1481.9405,20,1326,0.0526559092104435,43.1074531078339,0.5,1.25,4,1,TRUE
"39",1139,1505,1761,2153,3012,2997,0.100153295861012,0.234590065828845,0.150210754885681,1.22260079500284,0.262099308610936,-199.0004,4698.4483,1448.5893,10,1248,0.0614426583051682,42.3523488044739,-0.25,1.5,5,2,TRUE
"40",1404,1952,2154,2552,3102,2831,0.084572885677858,0.201131999191429,0.126845851481993,1.18477251624884,0.180365296803653,-220.5678,5374.4957,1895.4481,20,1265,0.107912488281727,39.1116056442261,0,2.5,9,32,TRUE
"41",1269,1640,1842,2150,2730,2436,0.0771543086172345,0.208926875593542,0.11571696931747,1.1672095548317,0.194225721784777,-219.1791,4606.8673,1655.4015,20,1239,0.0377128832042217,40.176953792572,-0.125,0.875,3,16,TRUE
"42",1527,2056,2294,2782,3649,3480,0.0961386918833727,0.239473942486996,0.144193834334679,1.21272885789015,0.227999326939256,-249.7943,5972.5943,1976.2451,5,1340,0.0242908541113138,39.2572340965271,-0.375,0.625,2,32,TRUE
"43",1143,1585,1767,2191,2508,2444,0.107124810510359,0.25109558213905,0.160666919287609,1.23995472552349,0.173333333333333,-115.119,4472.8542,1467.607,25,1323,0.0117845674976707,39.5022130012512,0,0.25,2,32,TRUE
"44",934,1132,1371,1790,2371,2183,0.132552989560266,0.347775564409031,0.198798038905583,1.3056163384391,0.267236771779797,-39.2100000000001,3689.9265,1248.9163,25,1344,0.0176758281886578,41.0730092525482,0.375,0.375,1,16,TRUE
"45",1099,1546,1794,2191,2556,2346,0.0996235884567127,0.21056539726318,0.149416635302973,1.22129319955407,0.175172413793103,-96.2130999999998,4454.9894,1559.2515,30,1382,0.0558435767889023,42.9655561447144,0.375,1.375,4,1,TRUE
"46",1198,1581,1880,2425,2879,2609,0.126596980255517,0.288604109298877,0.189873417721519,1.28989361702128,0.209918050010506,-16.5509,4833.088,1692.5874,25,1446,0.0588575042784214,42.6438055038452,0,1.25,6,2,TRUE
"47",1018,1374,1596,1888,2300,2149,0.0838117106773823,0.190600522193211,0.125699526474387,1.18295739348371,0.180698151950719,-149.1958,3958.2525,1358.3347,15,1351,0.0636516436934471,40.0902156829834,-0.25,1.5,4,16,TRUE
"48",1327,1807,2034,2411,2610,2269,0.084814398200225,0.202101425967621,0.127207288269036,1.18534906588004,0.124031007751938,-138.9284,4868.1081,1812.4893,35,1272,8.88178419700125e-16,40.2876110076904,0,0,0,1,TRUE
"49",1617,2222,2486,2845,3139,2791,0.0673419621084224,0.159286538290886,0.101003469942793,1.14440868865648,0.116088888888889,-256.200099999999,5884.2325,2156.0334,30,1523,0.411492973566055,42.6032872200012,0.125,9.625,44,2,TRUE
"50",1245,1635,1838,2211,2427,2106,0.0921215114843171,0.238949391415759,0.138165205580936,1.20293797606094,0.13810082063306,-115.8574,4462.0394,1657.4928,40,1383,0.0825181677937508,41.1443166732788,0.375,1.875,6,4,TRUE
"51",1264,1776,2010,2282,2960,2731,0.0633737185461323,0.139831379806704,0.0950495049504951,1.13532338308458,0.191146881287726,-277.4102,4970.7695,1732.2065,30,1298,0.0186317432671785,42.3220548629761,0.5,0.5,1,1,TRUE
"52",1104,1469,1646,2117,2616,2340,0.125166090884932,0.317043618739903,0.18772419290554,1.2861482381531,0.227592679493196,-60.1614999999998,4317.1179,1530.6435,25,1484,0.10403935611248,44.5006532669067,1.25,2.75,9,64,TRUE
"53",768,1016,1279,2419,2594,1982,0.308274743104381,0.657591139824642,0.462349601189671,1.89132134480063,0.339530080041312,594.0282,3941.4429,1566.5326,15,1623,0.18893264234066,43.2318080663681,-1.375,4.625,13,1,TRUE
"54",1177,1638,1843,2253,2825,2605,0.10009765625,0.228565057420002,0.150128158183815,1.22246337493218,0.210368466152528,-146.9975,4715.5235,1630.2426,35,1282,0.0372505597770214,42.3220548629761,0.375,0.875,3,2,TRUE
"55",731,1014,936,4035,2265,1421,0.623415811707906,1.8581364672023,0.93502966911395,4.31089743589744,0.415182755388941,2133.9181,4439.3467,1834.9522,0,1277,0,43.4292036294937,0,0,0,64,TRUE
"56",731,1014,936,4035,2265,1421,0.623415811707906,1.8581364672023,0.93502966911395,4.31089743589744,0.415182755388941,2133.9181,4439.3467,1834.9522,0,1277,0,43.4292036294937,0,0,0,64,TRUE
