"","sr_band1","sr_band2","sr_band3","sr_band4","sr_band5","sr_band7","ndvi","evi","savi","sr","ndsvi","greenness","brightness","wetness","total_shrubs","elevation","folded_aspect_ns","slope","tpi","tri","roughness","flowdir","satvi","tndvi","weights"
"13",830,1093,1430,1803,2740,2354,0.115372718836994,0.224212551094013,0.173032317921757,1.26083916083916,0.314148681055156,-745.8594,3546.0068,-2656.0171,0.67,1379,174.17366027832,11.5975980758667,2.5,5.25,16,4,0.471166526795348,55.7686359418497,0.0572736727115194
"14",781,1028,1336,1769,2566,2244,0.139452495974235,0.275550464553901,0.209145065206891,1.32410179640719,0.315222962583291,-654.155,3385.0255,-2501.7232,30.67,1350,95.9061279296875,6.9262490272522,-0.125,2.875,8,16,0.472773862908392,56.9726247987118,0.103309201970423
"15",702,1005,1335,1702,1987,1608,0.120842937108989,0.206272482014388,0.181234567901235,1.2749063670412,0.19626730885009,-484.523,3066.8304,-1747.4848,0.67,1428,98.1301040649414,1.6876049041748,-0.125,0.625,2,1,0.294356659142212,56.0421468554495,0.22240117637244
"16",651,840,954,1532,2054,1698,0.232502011263073,0.608549168245947,0.348682887593002,1.60587002096436,0.365691489361702,-379.1224,2745.6471,-1942.2428,44,1612,74.0545959472656,3.47174119949341,0.5,1.5,5,32,0.548446069469835,61.6251005631537,0.132042746610709
"17",734,932,1203,1455,1485,1428,0.0948081264108352,0.198800883559482,0.142185442918939,1.20947630922693,0.104910714285714,-521.7852,2682.1518,-1303.1775,16.66,1354,58.3924980163574,7.2492527961731,3.5,4,13,128,0.157336804909801,54.7404063205418,0.0695823400246545
"18",635,839,1017,1529,2029,1740,0.201099764336214,0.446070744032061,0.301590418221088,1.50344149459194,0.332239001969796,-414.6512,2763.0459,-1944.5786,50,1710,42.6140556335449,15.8061876296997,0.875,6.375,23,128,0.498276710979813,60.0549882168107,0.134207076039688
"19",904,1193,1518,1922,3011,2617,0.117441860465116,0.237591155022348,0.176137189362011,1.26613965744401,0.329653345109296,-838.9696,3833.2542,-2947.6698,38.66,1830,15.9453954696655,6.91817474365234,1.5,3,10,64,0.49442543327078,55.8720930232558,0.0833408878610525
"20",860,1203,1561,2022,3113,2589,0.128663131454089,0.233346831342377,0.19296776894098,1.29532351057015,0.332049636285837,-772.8352,3926.8534,-3009.2708,50.67,1837,159.623565673828,8.84250831604004,1.25,3.75,12,8,0.498021178735694,56.4331565727044,0.132023317112762
"21",921,1254,1573,2089,3216,2917,0.140906608410705,0.279190563791797,0.211331058020478,1.32803560076287,0.343077886823972,-858.8596,4096.0843,-3232.1318,37.34,1653,90,5.08888754974322e-14,0,0,0,128,0.514563106796116,57.0453304205352,0.151029209629465
"22",1085,1463,1876,2450,3538,3089,0.132686084142395,0.257653290241494,0.199006125043338,1.30597014925373,0.306981898780938,-927.3734,4708.3237,-3430.9065,25.34,1794,45,0.675206005573273,0,0.25,2,128,0.460430325976544,56.6343042071197,0.129797637128848
"23",795,1025,1313,1996,3296,2531,0.206406769416742,0.436421725239617,0.3095633781538,1.52018278750952,0.430245172488609,-582.3134,3750.6515,-3197.4803,70.66,2095,65.8544616699219,7.54314994812012,0,3.25,10,32,0.645297754637162,60.3203384708371,0.145776219307951
"24",1140,1563,1925,2606,3472,3029,0.150297947472964,0.303638309256287,0.225422045680238,1.35376623376623,0.286640726329442,-877.483,4870.7648,-3297.6031,48.67,1832,40.2363586425781,4.05866432189941,-0.375,1.625,6,64,0.42992125984252,57.5148973736482,0.217061125692534
"25",1116,1504,1870,2429,3291,2869,0.130030239590602,0.26467803030303,0.195022677055472,1.29893048128342,0.275334237550862,-900.3278,4627.1008,-3108.9487,79.33,1951,165.963760375977,1.96786379814148,0.625,0.875,3,4,0.412961348445219,56.5015119795301,0.0622714166938812
"26",1009,1383,1824,2262,3166,2806,0.1071953010279,0.194166149481337,0.160773277866145,1.24013157894737,0.268937875751503,-897.4452,4368.0165,-3048.8609,32,1976,90,0.954841256141663,0.125,0.375,2,128,0.40336639615269,55.359765051395,0.0746875090593268
"27",989,1285,1553,2090,2967,2586,0.147405984079056,0.336339721909057,0.22107863318238,1.34578235672891,0.31283185840708,-789.6978,4015.7519,-2841.1194,54.66,1830,122.799530029297,12.574686050415,-1.125,5.125,19,2,0.469195885410906,57.3702992039528,0.227110063329409
