"","sr_band1","sr_band2","sr_band3","sr_band4","sr_band5","sr_band7","ndvi","evi","savi","sr","ndsvi","greenness","brightness","wetness","total_shrubs","elevation","slope","folded_aspect","tpi","tri","roughness","flowdir","ds"
"1721",841,1192,1363,1978,2450,2138,0.18407662376534,0.399402519807767,0.276073619631902,1.4512105649303,0.285077366902701,118.5259,3813.7023,1366.8563,30,1398,0.0416425801813602,41.2149062156677,0,1,3,16,"vegbank"
"1722",952,1332,1649,2523,3059,2411,0.209491850431448,0.413982569154983,0.314200119832235,1.53001819284415,0.299490229396771,313.5302,4618.586,1821.9467,0,1406,0.0883539170026779,39.5687808990479,0.5,2,7,64,"vegbank"
"1723",952,1332,1649,2523,3059,2411,0.209491850431448,0.413982569154983,0.314200119832235,1.53001819284415,0.299490229396771,313.5302,4618.586,1821.9467,0,1406,0.0883539170026779,39.5687808990479,0.5,2,7,64,"vegbank"
"1724",1194,1437,1675,1980,2335,1944,0.0834473324213406,0.247886866059818,0.125153877718506,1.18208955223881,0.164588528678304,-131.4489,4080.584,1564.8371,10,1394,0.0471055805683136,39.5022130012512,0,1,4,32,"vegbank"
"1725",1194,1437,1675,1980,2335,1944,0.0834473324213406,0.247886866059818,0.125153877718506,1.18208955223881,0.164588528678304,-131.4489,4080.584,1564.8371,10,1394,0.0471055805683136,39.5022130012512,0,1,4,32,"vegbank"
"1726",828,1161,1252,2120,2549,2180,0.257413997627521,0.633946830265849,0.386063750926612,1.69329073482428,0.341225993159695,290.8107,3858.9626,1390.1059,40,1843,0.320434600114822,42.7505412101746,-4.25,7.5,29,1,"vegbank"
"1727",699,945,1137,2126,2671,2318,0.303095311063439,0.667071361122353,0.454573310862571,1.8698328935796,0.402836134453782,413.9544,3752.6079,1306.4012,35,1705,0.0841692388057709,44.4256951808929,-3,3.5,9,64,"vegbank"
"1728",757,1018,1338,2223,3014,2674,0.248525695029486,0.483659416329653,0.3727362066545,1.66143497757848,0.385110294117647,310.5139,4150.6708,1416.7589,0,1759,0.107912488281727,43.0344125032425,0,2.5,9,1,"vegbank"
"1729",1110,1610,1980,2603,3494,3170,0.135937159066114,0.252881961357363,0.203883495145631,1.31464646464646,0.27658019729631,0.374800000000221,5305.9219,1830.9236,25,1771,0.0633797720074654,41.4535155296326,-0.375,1.375,5,4,"vegbank"
"1730",1015,1435,1867,2506,2880,2459,0.146123942373657,0.26203559419339,0.219160855150337,1.34226031065881,0.213397935538235,146.3598,4740.0826,1758.5107,10,1353,0.133824467658997,39.9071044921875,0,3.25,11,32,"vegbank"
"1731",943,1267,1504,2141,2970,2588,0.174759945130316,0.389031391229999,0.262103963790975,1.42353723404255,0.327670987930264,75.9194000000001,4303.2756,1533.9542,25,1703,0.0743980258703232,39.8239636421204,0.25,1.75,6,32,"vegbank"
"1732",1131,1641,1924,2406,3247,2817,0.111316397228637,0.220352930419676,0.166955316937998,1.25051975051975,0.255849932314833,-89.5236000000001,5020.6112,1836.6167,35,1343,0.0294542610645294,40.4295082092285,0.125,0.625,2,16,"vegbank"
"1733",801,1057,1307,1810,2330,2037,0.161373115174848,0.344945823618159,0.242020850040096,1.38485080336649,0.281275776739071,71.8134,3561.2658,1274.1913,20,1343,0.0825181677937508,39.4309053421021,-0.625,1.875,6,64,"vegbank"
"1734",1125,1501,1811,2241,2811,2557,0.106120434353406,0.230168076223102,0.15916101172116,1.23743787962452,0.216356555603635,-86.8427999999998,4607.9413,1608.8725,5,1244,0.0799764767289162,39.8007116317749,-0.5,2,8,32,"vegbank"
"1735",1446,2079,2341,2739,3638,3632,0.0783464566929134,0.167480222184817,0.117508119279598,1.17001281503631,0.216925907342365,-322.6069,5998.4551,1885.7237,10,1228,0.0300372242927551,40.8756136894226,0.125,0.625,2,4,"vegbank"
"1736",1163,1504,1756,2075,2239,1939,0.083268076220308,0.205039208124438,0.124885814954978,1.18166287015945,0.12090112640801,-109.1985,4170.2513,1555.3874,35,1277,0.0799764767289162,40.774510383606,-0.5,2,6,16,"vegbank"
"1737",1047,1440,1814,2339,2900,2652,0.126414640019263,0.244345154984641,0.189599133261105,1.28941565600882,0.230377598642342,5.46910000000008,4674.2432,1613.1771,25,1750,0.0448462851345539,39.0973210334778,-1.125,1.375,6,128,"vegbank"
"1738",1106,1609,2063,2901,3450,2977,0.168815471394037,0.299928418038654,0.253197703696243,1.40620455647116,0.251587157627426,224.8567,5463.4264,1991.8006,25,1547,0.0212427191436291,38.914210319519,-0.75,0.75,2,32,"vegbank"
"1739",1178,1741,2257,3034,3588,3173,0.146853146853147,0.250904159132007,0.220258905792308,1.34426229508197,0.227715996578272,157.6727,5804.7925,2076.3112,20,1476,0.0448462851345539,44.6194936335087,-0.5,1,3,64,"vegbank"
"1740",1210,1809,2229,2769,3496,3237,0.108043217286915,0.190974678172302,0.162048614584375,1.24226110363392,0.221310043668122,-72.4936999999999,5657.9992,1938.4226,30,1420,0.0166651234030724,38.7168145179749,-0.625,0.625,1,128,"vegbank"
"1741",1211,1776,2175,2769,3475,3174,0.120145631067961,0.220408163265306,0.18020022246941,1.27310344827586,0.230088495575221,-27.6020999999998,5593.5832,1939.2281,20,1391,0.00589248817414045,39.5022130012512,0.125,0.125,1,32,"vegbank"
"1742",1240,1707,2063,2539,3178,2915,0.103433289873968,0.211819152723389,0.155133079847909,1.23073194377121,0.212745659225339,-102.7669,5224.4754,1810.8772,35,1397,0.0186317432671785,39.1804623603821,-0.5,0.5,1,128,"vegbank"
"1743",1257,1810,2202,2804,3430,3110,0.120255693168198,0.228393656574854,0.180365524817737,1.27338782924614,0.218039772727273,-20.8468999999996,5623.3293,1969.9735,0,1390,8.88178419700125e-16,40.2876110076904,0,0,0,64,"vegbank"
"1744",1337,1945,2424,2969,3749,3467,0.101056925644354,0.181994256328057,0.151571335867248,1.22483498349835,0.2146444192451,-101.8106,6095.0383,2093.9625,15,1380,0.00589248817414045,44.2146018147469,-0.375,0.375,1,16,"vegbank"
"1745",1124,1570,1950,2472,3270,3012,0.118046132971506,0.227233153404144,0.177049180327869,1.26769230769231,0.252873563218391,-57.0033999999998,5094.006,1737.161,25,1386,0.0117845674976707,42.6438055038452,0,0.25,2,2,"vegbank"
"1746",1154,1739,2229,2770,3612,3435,0.108221644328866,0.180574098798398,0.162316231623162,1.24270973530731,0.236774524910118,-71.5975,5699.8643,1880.6624,30,1370,0.0459898859262466,41.7677474021912,0.25,1,3,4,"vegbank"
"1747",1455,2082,2452,3033,3656,3334,0.105925250683683,0.212555791322163,0.158873393491933,1.23694942903752,0.197118533071382,-103.1323,6168.6368,2162.2083,30,1402,0.0333209969103336,43.4292036294937,0,0.75,2,1,"vegbank"
"1748",1339,1937,2307,2832,3494,3203,0.102159953298307,0.197889182058048,0.153225021889289,1.22756827048114,0.204619893121876,-112.8028,5808.3768,2022.0021,40,1208,0.0300372242927551,42.4464099407196,0.5,0.75,3,2,"vegbank"
"1749",993,1287,1356,1474,1480,1255,0.0416961130742049,0.136353131499884,0.0625331213566508,1.08702064896755,0.0437235543018336,-201.8546,3084.6608,1187.5775,40,1209,0.0358276851475239,42.4786567687988,-0.625,0.875,4,2,"vegbank"
"1750",1344,1803,2002,2203,2396,2229,0.0478002378121284,0.12149419729207,0.0716918321245987,1.1003996003996,0.0895861755343338,-284.1479,4656.7628,1647.9224,35,1248,0.0471055805683136,42.6438055038452,0,1,4,2,"vegbank"
"1751",1383,2046,2342,2871,3569,3404,0.101477076539421,0.201862168968938,0.152201016591541,1.22587532023911,0.207579089832516,-165.9357,5974.1324,1990.7447,40,1379,0.0166651234030724,41.8584072589874,0.375,0.375,1,4,"vegbank"
"1752",1179,1707,1893,2370,2716,2423,0.111893033075299,0.24403970121764,0.167819866307025,1.25198098256735,0.178563679756997,-72.2457999999997,4763.4458,1715.4087,0,1481,0.0947302356362343,40.0213589668274,-1.25,2.25,7,16,"vegbank"
"1753",985,1291,1695,2138,2624,2325,0.115575267414558,0.225033018388703,0.173340289552628,1.26135693215339,0.215096087057189,3.76040000000017,4256.9622,1524.0767,10,1414,0.16443757712841,41.3610646724701,-1,4,12,8,"vegbank"
"1754",1486,2242,2779,3128,4247,3948,0.0590824445573049,0.100773850773851,0.0886161658908168,1.12558474271321,0.208938229433533,-327.7836,6802.705,2339.2412,25,1210,0.0300372242927551,42.4464099407196,-0.5,0.75,3,2,"vegbank"
"1755",1486,2242,2779,3128,4247,3948,0.0590824445573049,0.100773850773851,0.0886161658908168,1.12558474271321,0.208938229433533,-327.7836,6802.705,2339.2412,10,1210,0.0300372242927551,42.4464099407196,-0.5,0.75,3,2,"vegbank"
"1756",1092,1533,1807,2203,2623,2519,0.0987531172069825,0.203871499176277,0.148111208078793,1.2191477587161,0.184198645598194,-113.3149,4522.997,1502.2636,30,1280,0.0235658623278141,39.5022130012512,-0.25,0.5,2,32,"vegbank"
"1757",1167,1633,1890,2268,2805,2713,0.0909090909090909,0.194584577370534,0.136347240591559,1.2,0.194888178913738,-170.8856,4764.6002,1566.2983,0,1296,0.0235658623278141,39.5022130012512,0.25,0.5,2,64,"vegbank"
"1758",807,1190,1501,2007,2467,2165,0.1442417331813,0.254963216769122,0.216331765711843,1.33710859427049,0.243447580645161,75.5759000000002,3910.3335,1407.8872,15,1483,0.0212427191436291,38.914210319519,0.5,1.25,3,64,"vegbank"
"1759",1074,1534,1837,2505,3085,2849,0.153846153846154,0.305134295633108,0.230742659758204,1.36363636363636,0.253555465258025,66.6489999999999,4930.0134,1672.1837,25,1511,0.112105131149292,43.3921835422516,-1.125,2.875,8,2,"vegbank"
"1760",878,1262,1559,2174,3040,2654,0.164746852397536,0.310983009708738,0.247087183607875,1.39448364336113,0.32202652750598,77.2838000000001,4374.3122,1560.54,30,1559,0.089512899518013,39.9071044921875,0.625,2.125,7,16,"vegbank"
"1761",1105,1577,1956,2940,3732,3375,0.200980392156863,0.385006651537679,0.301439803941591,1.50306748466258,0.312236286919831,260.3032,5592.9558,1907.1181,20,1537,0.0186317432671785,44.5363523960114,0.5,0.5,1,64,"vegbank"
"1762",1068,1471,1757,2407,3155,2915,0.156099903938521,0.328947368421053,0.234121743306519,1.36994877632328,0.284609120521173,37.5009000000001,4839.2062,1626.1478,20,1463,0.0294542610645294,39.5022130012512,-0.625,0.875,3,32,"vegbank"
"1763",971,1155,1248,2504,1688,1158,0.334754797441365,1.15845784910533,0.502065289806795,2.00641025641026,0.149863760217984,724.0578,3599.5845,1491.7098,0,1377,0.0708370506763458,43.3704478740692,-0.125,1.625,5,1,"vegbank"
"1764",1045,1433,1894,2272,2305,1970,0.0907345175228036,0.162945081472541,0.136085443417737,1.19957761351637,0.097880447725649,13.5912000000001,4333.7087,1637.5124,0,1357,0.0471055805683136,39.5022130012512,-1,1.25,4,32,"vegbank"
"1765",990,1272,1541,2286,2089,1655,0.194669453880324,0.453383641674781,0.291966035271065,1.4834523036989,0.150964187327824,298.5856,3928.5457,1541.3967,5,1448,0.0448462851345539,43.8097100257874,-1.75,1.75,6,2,"vegbank"
"1766",722,965,1258,1982,2153,1651,0.223456790123457,0.43974732750243,0.335133467057553,1.57551669316375,0.262386396951041,326.9367,3434.3595,1380.6678,0,1365,0.12032113224268,43.394734621048,-3.75,3.75,9,128,"vegbank"
"1767",722,965,1258,1982,2153,1651,0.223456790123457,0.43974732750243,0.335133467057553,1.57551669316375,0.262386396951041,326.9367,3434.3595,1380.6678,35,1365,0.12032113224268,43.394734621048,-3.75,3.75,9,128,"vegbank"
"1768",722,965,1258,1982,2153,1651,0.223456790123457,0.43974732750243,0.335133467057553,1.57551669316375,0.262386396951041,326.9367,3434.3595,1380.6678,0,1365,0.12032113224268,43.394734621048,-3.75,3.75,9,128,"vegbank"
"1769",897,1256,1473,1843,2011,1811,0.111580217129071,0.233910734606145,0.167345092718227,1.25118805159538,0.154420206659013,-22.7600999999998,3622.5631,1295.1386,25,1183,0.0503035522997379,43.0025762319565,0.375,1.125,4,1,"vegbank"
"1770",1220,1636,1949,2306,2903,2589,0.0839012925969448,0.183982683982684,0.125837151921043,1.18317085684967,0.196619950535862,-161.2158,4833.1409,1735.3835,30,1307,0.00589248817414045,39.5022130012512,0.125,0.125,1,32,"vegbank"
"1771",1220,1636,1949,2306,2903,2589,0.0839012925969448,0.183982683982684,0.125837151921043,1.18317085684967,0.196619950535862,-161.2158,4833.1409,1735.3835,0,1307,0.00589248817414045,39.5022130012512,0.125,0.125,1,32,"vegbank"
"1772",1071,1610,2123,3470,3573,2789,0.240836760236009,0.411851036507063,0.361222847948512,1.63447951012718,0.254564606741573,679.5767,5811.6274,2298.7738,0,1527,0.115700326859951,43.682877779007,0.25,2.75,8,1,"vegbank"
"1773",1108,1568,1865,2272,2580,2295,0.0983804689388446,0.197457791577722,0.147552870090634,1.21823056300268,0.160854893138358,-67.1955999999999,4547.4505,1646.4071,20,1386,0.0166651234030724,40.2876110076904,-0.375,0.375,1,64,"vegbank"
"1774",989,1403,1868,2206,2535,2166,0.0829651448208149,0.140892038349312,0.124432445698859,1.18094218415418,0.151487622075857,-36.8462,4374.5317,1647.9014,15,1473,0.187966421246529,40.7904543876648,0.375,4.375,16,16,"vegbank"
"1775",1199,1573,2007,2504,2992,2750,0.110175127466194,0.223692501575299,0.165244375484872,1.24763328350772,0.197039407881576,-34.7577999999999,5013.2481,1733.761,25,1450,0.0503035522997379,40.7142386436462,-0.375,1.125,4,8,"vegbank"
"1776",1002,1436,1924,2738,3429,3011,0.174603174603175,0.300679669030733,0.261876675603217,1.42307692307692,0.281150756585092,224.5366,5201.1537,1849.3981,25,1422,0.0647275745868683,39.5022130012512,-0.375,1.375,5,32,"vegbank"
"1777",1169,1671,2145,2803,3635,3141,0.132983023443816,0.238181423296894,0.199454380115186,1.30675990675991,0.257785467128028,55.3318000000002,5586.6751,2041.8539,0,1347,0.0718041583895683,44.8253277987242,0.75,1.75,5,64,"vegbank"
"1778",1086,1574,2036,2770,3519,3141,0.152725759467332,0.268196433791289,0.229064808072402,1.36051080550098,0.266966696669667,123.5364,5413.9903,1901.6141,0,1374,0.081890270113945,44.5817756652832,0.375,1.875,6,64,"vegbank"
"1779",689,1004,1257,1877,2007,1774,0.197830248883216,0.364491475602587,0.296698037964588,1.49323786793954,0.229779411764706,220.5409,3365.7174,1195.9547,10,1776,0.249184906482697,40.3367519378662,-0.75,5.75,19,16,"vegbank"
"1780",527,757,833,1677,1893,1514,0.336254980079681,0.774738388103543,0.504282015534754,2.01320528211285,0.388848129126926,404.1136,2785.389,1058.7738,35,2190,0.316635936498642,40.4151206016541,-0.625,7.875,21,16,"vegbank"
"1781",1028,1364,1950,2637,2832,2393,0.149771092217135,0.259127942063971,0.224632152588556,1.35230769230769,0.18444165621079,236.8866,4804.078,1798.8497,0,1349,0.0242908541113138,39.7471914291382,0.375,0.625,2,64,"vegbank"
"1782",1028,1364,1950,2637,2832,2393,0.149771092217135,0.259127942063971,0.224632152588556,1.35230769230769,0.18444165621079,236.8866,4804.078,1798.8497,25,1349,0.0242908541113138,39.7471914291382,0.375,0.625,2,64,"vegbank"
"1783",1008,1398,1755,2274,2697,2329,0.128816083395383,0.247378455672069,0.193200148901849,1.2957264957265,0.211590296495957,47.7263999999999,4441.0997,1633.9565,10,1309,0.0715636238455772,40.9078602790833,0.125,1.625,7,8,"vegbank"
"1784",1212,1587,1827,2392,2902,2708,0.133917990045034,0.331184056271981,0.200853181656594,1.30925013683634,0.227320786635652,-34.8490999999999,4820.2054,1627.7149,20,1596,0.137076154351234,42.2950344085693,-0.375,3.375,11,4,"vegbank"
"1785",1079,1449,1715,2226,2626,2316,0.129662522202487,0.288733190190982,0.19446911074464,1.29795918367347,0.209859479382631,5.45780000000019,4401.9837,1586.06,5,1585,0.0474716164171696,44.3389568328857,0.125,1.125,4,128,"vegbank"
"1786",996,1378,1662,2339,2616,2263,0.169207698075481,0.349545642296572,0.253779832562789,1.40734055354994,0.223001402524544,162.3116,4375.7712,1596.2397,20,1424,0.0506463386118412,43.2640550136566,0.5,1.25,3,1,"vegbank"
"1787",2049,2724,3127,3569,4019,3700,0.0660095579450418,0.158661784765597,0.0990069439259315,1.14134953629677,0.124825076966135,-339.6423,7435.2132,2628.9593,0,1447,0.0166651234030724,40.2876110076904,-0.375,0.375,1,64,"vegbank"
"1788",1503,1997,2360,2724,3062,2935,0.0715971675845791,0.162138084632517,0.107385190284197,1.15423728813559,0.129472519365548,-229.2418,5637.4272,1908.2215,45,1513,8.88178419700125e-16,40.2876110076904,0,0,0,128,"vegbank"
"1789",1503,1997,2360,2724,3062,2935,0.0715971675845791,0.162138084632517,0.107385190284197,1.15423728813559,0.129472519365548,-229.2418,5637.4272,1908.2215,50,1513,8.88178419700125e-16,40.2876110076904,0,0,0,128,"vegbank"
"1790",1190,1584,1825,2190,2692,2444,0.0909090909090909,0.216437381404175,0.136346656705267,1.2,0.191941554128847,-151.7456,4570.9872,1611.948,30,1501,0.0358276851475239,41.238157749176,-0.25,0.75,3,4,"vegbank"
"1791",1273,1712,1958,2318,2594,2341,0.0841908325537886,0.199137072685032,0.126271483689933,1.18386108273749,0.139718804920914,-150.2497,4733.7844,1698.315,30,1259,0.0705931782722473,41.0730092525482,0.5,1.75,6,8,"vegbank"
"1792",766,1061,1398,1787,1952,1689,0.122135007849294,0.219476416158881,0.183173756082248,1.27825464949928,0.165373134328358,63.3801000000003,3394.611,1253.7856,25,1407,0.0708370506763458,44.2977430820465,-0.5,2,7,128,"vegbank"
"1793",850,1165,1540,2121,2366,1950,0.158699808795411,0.291257268899138,0.238017206063089,1.37727272727273,0.211469534050179,178.0727,3914.6475,1497.0615,0,1441,0.0416425801813602,40.2876110076904,0.25,1,3,8,"vegbank"
"1794",839,1021,1367,1818,2020,1786,0.14160125588697,0.302400429126995,0.212368544969393,1.32991953182151,0.19279598464718,88.8509999999998,3437.1479,1230.3498,25,1386,0.174969047307968,43.5711007118225,-2,4.25,13,1,"vegbank"
"1795",795,1093,1367,1851,2157,1785,0.150403977625855,0.295735060491262,0.225570918129563,1.35405998536942,0.224177071509648,101.9814,3519.6101,1342.6283,30,1328,0.0670846626162529,43.9483498334885,0.625,1.625,5,1,"vegbank"
"1796",812,1093,1424,1951,1927,1589,0.156148148148148,0.299024058102587,0.234187527773663,1.37008426966292,0.1501044464339,178.8281,3494.9892,1339.9836,30,1347,0.0947302356362343,44.0902468562126,-1.125,2.625,9,128,"vegbank"
"1797",896,1232,1511,1952,2021,1688,0.127346231591106,0.256454989532449,0.19099177132958,1.29185969556585,0.144394110985277,69.7504,3670.7448,1401.3656,70,1254,0.275756448507309,40.5254468917847,-2.125,6.875,20,16,"vegbank"
"1798",1151,1580,1991,2453,2366,2114,0.103960396039604,0.200260078023407,0.155923050961863,1.23204419889503,0.0860683956851044,30.2040999999999,4626.2016,1683.0479,35,1361,0.0665681660175323,41.8584072589874,0,1.5,4,4,"vegbank"
"1799",1151,1580,1991,2453,2366,2114,0.103960396039604,0.200260078023407,0.155923050961863,1.23204419889503,0.0860683956851044,30.2040999999999,4626.2016,1683.0479,25,1361,0.0665681660175323,41.8584072589874,0,1.5,4,4,"vegbank"
"1800",900,1229,1484,2232,2702,2225,0.201291711517761,0.426259402780944,0.301896946051392,1.50404312668464,0.290969899665552,228.0827,4152.5633,1572.5772,0,1358,0.0428721718490124,40.7947096824646,0.25,1,4,8,"vegbank"
"1801",900,1229,1484,2232,2702,2225,0.201291711517761,0.426259402780944,0.301896946051392,1.50404312668464,0.290969899665552,228.0827,4152.5633,1572.5772,0,1358,0.0428721718490124,40.7947096824646,0.25,1,4,8,"vegbank"
"1802",1006,1406,1656,2197,2607,2289,0.140410070075266,0.294726519938985,0.210587777345271,1.32669082125604,0.223082336382829,39.2664000000001,4307.7962,1555.7087,0,1433,0.0956312716007233,40.2441601753235,-1.375,2.625,11,16,"vegbank"
"1803",801,1123,1484,2029,2700,2256,0.15513805863934,0.276565513041713,0.232673971822969,1.36725067385445,0.290630975143403,108.1688,3978.235,1495.3788,0,1419,0.0784551426768303,40.8462104797363,-0.5,2,7,8,"vegbank"
"1804",839,1028,1344,1991,2602,2152,0.19400299850075,0.429786103361233,0.29096087543097,1.48139880952381,0.318803852002027,182.7807,3792.7792,1424.7259,10,1468,0.0705931782722473,41.0730092525482,0.25,1.5,6,8,"vegbank"
"1805",690,1002,1121,1857,1862,1527,0.247145735392881,0.539747726606043,0.370656370656371,1.65655664585192,0.248407643312102,307.854,3176.2996,1202.4121,15,1852,0.0294542610645294,42.0003044605255,-0.125,0.625,2,4,"vegbank"
"1806",1001,1381,1713,2256,2714,2410,0.136810279667423,0.270014917951268,0.205189570474871,1.3169877408056,0.226112491529252,48.3624000000002,4423.0315,1576.49,25,1541,0.110262058675289,40.6331667900085,-1,2.5,10,16,"vegbank"
"1807",1100,1485,1685,2056,2414,2213,0.099171344560278,0.23678835843758,0.148737137511693,1.22017804154303,0.177848255672115,-113.3835,4217.1241,1476.2286,15,1511,0.0474716164171696,40.9486541748047,0.125,1.125,4,8,"vegbank"
"1808",844,1143,1348,1889,2092,1952,0.167130058696324,0.370751096491228,0.250656370656371,1.4013353115727,0.216279069767442,95.4171000000001,3579.8851,1208.1809,30,1643,0.0212427191436291,40.0902156829834,-0.25,0.5,2,32,"vegbank"
"1809",696,1033,1119,2558,1908,1396,0.391351645363068,0.887614113002714,0.586947654656696,2.28596961572833,0.260654112983152,874.6859,3575.9556,1431.3207,0,1629,0.0300372242927551,42.4464099407196,-0.5,0.75,3,2,"vegbank"
"1810",745,1032,1289,1822,2000,1756,0.171327547412408,0.335684595037158,0.25695002410413,1.41349883630721,0.216175129218607,146.8135,3368.5697,1210.7689,20,1544,0.0605933144688606,43.1509040594101,0.5,1.5,5,2,"vegbank"
"1811",750,1034,1375,2023,2461,2050,0.190700412007063,0.348462034846204,0.286008533176401,1.47127272727273,0.28310740354536,220.1896,3745.0479,1404.1992,10,1564,0.141687870025635,41.7412986755371,0.375,3.375,10,8,"vegbank"
"1812",1088,1479,1739,2289,2483,2246,0.136544190665343,0.301270815074496,0.20479086508626,1.31627372052904,0.17621980104216,43.8319,4404.9281,1555.3307,30,1559,0.0242908541113138,42.8887841701508,0.375,0.625,2,4,"vegbank"
"1813",822,1071,1207,1824,1817,1593,0.203563180468492,0.531529979324604,0.30529440870856,1.51118475559238,0.201719576719577,189.0563,3261.6603,1170.9856,45,1718,0.00589248817414045,41.0730092525482,-0.125,0.125,1,32,"vegbank"
"1814",822,1071,1207,1824,1817,1593,0.203563180468492,0.531529979324604,0.30529440870856,1.51118475559238,0.201719576719577,189.0563,3261.6603,1170.9856,0,1718,0.00589248817414045,41.0730092525482,-0.125,0.125,1,32,"vegbank"
"1815",1023,1349,1490,2125,2348,2215,0.175656984785615,0.467806099896862,0.263449038860462,1.4261744966443,0.223553934340803,87.9945999999999,4056.5813,1350.6857,40,1724,0.0176758281886578,42.6438055038452,-0.375,0.375,1,8,"vegbank"
"1816",1004,1412,1743,2462,2860,2317,0.170986920332937,0.333426080504545,0.256449887052669,1.41250717154332,0.242667825331306,201.3816,4595.5633,1781.1733,35,1450,0.0395079031586647,43.1074531078339,0,1,3,2,"vegbank"
"1817",798,1128,1312,1984,2042,1687,0.203883495145631,0.433884297520661,0.305778856362809,1.51219512195122,0.217650566487776,238.5208,3522.2539,1335.5347,10,1513,0.129442989826202,42.7344653606415,1.125,3.125,11,2,"vegbank"
"1818",798,1128,1312,1984,2042,1687,0.203883495145631,0.433884297520661,0.305778856362809,1.51219512195122,0.217650566487776,238.5208,3522.2539,1335.5347,5,1513,0.129442989826202,42.7344653606415,1.125,3.125,11,2,"vegbank"
"1819",723,962,1119,1625,2005,1826,0.184402332361516,0.433590402742074,0.276553106212425,1.45218945487042,0.283610755441741,87.4121,3145.6464,1072.4331,10,1438,8.88178419700125e-16,40.2876110076904,0,0,0,32,"vegbank"
"1820",675,956,1110,2005,2005,1579,0.287319422150883,0.62092410156792,0.430909966297545,1.80630630630631,0.287319422150883,438.6747,3289.6475,1278.381,20,1878,0.441623359918594,40.6763005256653,-2.375,11.125,36,16,"vegbank"
"1821",969,1354,1631,2589,2703,1928,0.227014218009479,0.468826465694431,0.340480985665206,1.58736971183323,0.247346562067374,435.6591,4436.7048,1884.6363,0,1454,0.00589248817414045,39.5022130012512,-0.125,0.125,1,64,"vegbank"
"1822",890,1354,1576,3410,2292,1733,0.367829923786603,0.74047157622739,0.551689561816906,2.16370558375635,0.185108583247156,1155.4486,4688.2143,1835.3531,0,1501,0,43.4292036294937,0,0,0,64,"vegbank"
"1823",889,1218,1437,2260,2088,1701,0.222612929402218,0.488079705847468,0.333874239350913,1.57272094641614,0.18468085106383,354.0163,3823.3634,1462.1146,35,1512,0.0343457013368607,44.7550213336945,0.25,0.75,3,128,"vegbank"
"1824",927,1289,1577,1897,2452,2218,0.0921128382268279,0.181508791832104,0.138149374010649,1.20291693088142,0.217175477786051,-104.0734,3962.365,1395.1296,40,1486,0.0212427191436291,40.4850068092346,0.25,0.5,2,16,"vegbank"
"1825",926,1295,1606,1963,2747,2249,0.100028019052956,0.191729323308271,0.150021011346127,1.22229140722291,0.262118079485412,-71.9326999999999,4117.863,1597.666,20,1652,0.0708370506763458,39.4190716743469,-2.25,2.5,6,16,"vegbank"
"1826",1092,1555,1852,2391,2681,2476,0.127032759839736,0.253575461046293,0.190526687875574,1.29103671706263,0.182881094198103,13.7817000000003,4673.1497,1616.3795,30,1332,0.0176758281886578,39.5022130012512,0.375,0.375,1,16,"vegbank"
"1827",1511,2169,2602,3051,3228,3027,0.0794268529984079,0.15310645843279,0.119129742637304,1.17255956956188,0.1073756432247,-152.0458,6105.0367,2127.2037,25,1403,0.169643700122833,43.3561631441116,0.25,4,11,1,"vegbank"
"1828",1613,2368,2573,2821,3137,2769,0.0459770114942529,0.100608519269777,0.0689591250347576,1.09638554216867,0.0987740805604203,-355.5173,5972.7111,2220.6544,25,1387,0.166158869862556,42.3220548629761,0.25,3.5,13,4,"vegbank"
"1829",1676,2272,2714,3052,3411,3286,0.0586194935830732,0.124870696024826,0.087921616231683,1.12453942520265,0.113795918367347,-299.4126,6360.8334,2154.446,20,1475,0.0358276851475239,41.238157749176,0.25,0.75,3,8,"vegbank"
"1830",1003,1431,1720,2661,3141,2578,0.214791143574526,0.430900265592087,0.322149948647723,1.54709302325581,0.292326681752726,327.8556,4852.6926,1841.3714,0,1710,0.0242908541113138,42.8887841701508,0.375,0.625,2,1,"vegbank"
"1831",1310,1795,2214,2589,2771,2703,0.0780762023735165,0.154984294924781,0.117102113042573,1.16937669376694,0.111735205616851,-143.0247,5211.5138,1738.1838,25,1461,0.0625570043921471,43.3626354932785,-0.25,1.5,4,1,"vegbank"
"1832",1064,1625,2020,2625,2933,2770,0.130247578040904,0.223544191545965,0.195350339037778,1.29950495049505,0.184332727639814,58.9799,5070.1109,1710.9643,30,1466,8.88178419700125e-16,40.2876110076904,0,0,0,32,"vegbank"
"1833",1167,1696,2161,2658,2911,2802,0.103133430172235,0.180793015642052,0.154684095860566,1.22998611753818,0.147870662460568,-25.5448999999999,5218.0061,1743.0343,30,1478,0.0542733334004879,39.2835440635681,0.25,1.25,4,64,"vegbank"
"1834",2127,2881,3328,3750,3921,3391,0.0596213619666572,0.135839824888946,0.0894257257893621,1.12680288461538,0.0818043868119741,-307.2016,7629.5958,2876.4169,0,1468,0.36271870136261,44.6643614470959,1.375,8.875,31,128,"vegbank"
"1835",1153,1666,2027,2532,2781,2550,0.11076990568107,0.2087639520463,0.166136637789231,1.2491366551554,0.156821963394343,-12.3588999999999,4957.6661,1740.3479,25,1338,0.0353406183421612,39.5022130012512,-0.25,0.75,4,64,"vegbank"
