"","sr_band1","sr_band2","sr_band3","sr_band4","sr_band5","sr_band7","ndvi","evi","savi","sr","ndsvi","greenness","brightness","wetness","total_shrubs","elevation","slope","folded_aspect","tpi","tri","roughness","flowdir","ds"
"12",690,1006,1381,1734,2284,1957,0.113322632423756,0.182108955839868,0.169956668271545,1.25561187545257,0.246384720327422,-578.5054,3226.7986,-2158.6856,0.67,1428,3.63139343261719,158.198593139648,0.375,1.375,5,4,"BLM"
"13",727,1008,1463,1942,2889,2597,0.140675477239354,0.227294296289266,0.210982234620467,1.32740943267259,0.327665441176471,-667.0144,3658.1213,-2933.6897,4.67,1654,14.7948589324951,141.340179443359,0.875,6.125,19,16,"BLM"
"14",560,833,1160,2047,2976,2553,0.276582475834113,0.461210482529118,0.414809041309431,1.76465517241379,0.439071566731141,-328.4932,3496.8602,-3078.8463,2.67,1685,8.30048370361328,136.636581420898,-2.125,4.125,13,4,"BLM"
"15",547,788,1065,1493,2347,2088,0.16731821735731,0.282956498743885,0.250928278288059,1.4018779342723,0.375732708089097,-513.3156,2833.3491,-2406.6279,0,1882,22.2431182861328,143.790557861328,1.375,10.125,30,16,"BLM"
"16",623,879,1220,1767,2953,2837,0.183126883160362,0.309704450232137,0.274644351464435,1.4483606557377,0.415288761083154,-662.3822,3406.0103,-3200.7384,0,1682,18.8087368011475,59.8862686157227,0.25,8,25,1,"BLM"
"17",591,965,1468,2289,3643,3256,0.218525419217461,0.307928887555322,0.327744510978044,1.55926430517711,0.425552729407161,-558.4184,4113.8251,-3885.6792,0.67,1820,21.8228321075439,57.011474609375,-3.375,9.375,34,1,"BLM"
"18",857,1105,1322,1942,3298,3167,0.189950980392157,0.449601160261059,0.284882830448767,1.46898638426626,0.427705627705628,-840.4314,3872.3657,-3510.9827,0.67,1702,4.31544876098633,51.3401794433594,-0.75,1.75,5,64,"BLM"
"19",697,955,1318,1768,2694,2617,0.145819831497084,0.252837397460389,0.218694313947837,1.34142640364188,0.342971086739781,-693.8866,3407.1853,-2839.7669,0,1733,4.22268724441528,118.610458374023,1.5,2.25,6,4,"BLM"
"20",477,669,761,2014,2221,1870,0.451531531531532,1.04294989179291,0.677175283732661,2.64651773981603,0.489604292421194,114.0802,2941.8059,-2230.8768,0,2145,12.3645534515381,53.7461624145508,-0.625,4.875,19,2,"BLM"
"21",986,1358,1784,2044,2328,2178,0.0679205851619645,0.121404557340306,0.101867572156197,1.1457399103139,0.132295719844358,-829.0852,3890.6258,-2100.5814,38,1432,7.95230865478516,27.6459732055664,0.25,3.25,11,1,"BLM"
"22",803,1151,1534,2021,2990,2479,0.136990154711674,0.233977130777361,0.205456335255238,1.31747066492829,0.32183908045977,-691.8344,3828.9901,-2884.8333,15.33,1637,7.65304851531982,127.874984741211,-0.375,3.125,9,4,"BLM"
"23",811,1070,1310,1637,2078,1791,0.110960298608755,0.239350021958718,0.166412213740458,1.24961832061069,0.22668240850059,-628.2288,3126.4337,-1879.5482,48.66,1679,10.9249105453491,121.263732910156,-1.75,4.75,14,16,"BLM"
"24",869,1140,1456,1882,2403,2145,0.127621330137807,0.259661099597708,0.191403324846488,1.29258241758242,0.245400362788287,-669.2496,3533.3503,-2258.4165,40,1725,6.17384767532349,60.6422424316406,0.875,2.625,8,64,"BLM"
"25",1174,1599,2071,2509,3185,2921,0.0956331877729258,0.1786005545588,0.143434122912346,1.21149203283438,0.211948249619482,-1000.3494,4803.7546,-2996.668,23.33,1389,2.86240530014038,135,0.375,1.125,3,16,"BLM"
"26",903,1253,1694,2265,3447,3054,0.144228340490023,0.252319929297393,0.216315191312034,1.3370720188902,0.340984244310445,-826.6332,4333.7891,-3464.368,38.67,1640,9.50865650177002,140.710586547852,-1.25,4,13,4,"BLM"
"27",969,1378,1792,2335,3294,3099,0.131572570874727,0.233227385963405,0.197334948516051,1.30301339285714,0.295320487613055,-897.0228,4466.1691,-3314.1294,36,1430,3.84366822242737,127.874969482422,0.375,1.625,5,32,"BLM"
"28",656,862,1086,1987,2448,1945,0.293198828506346,0.628487723214286,0.439726695949244,1.82965009208103,0.385398981324278,-206.2732,3254.1414,-2327.8146,24,1768,7.83262586593628,9.86580657958984,0.625,3.125,11,128,"BLM"
"29",865,1182,1553,2123,2638,2428,0.155059847660501,0.28761731759007,0.232558139534884,1.36703155183516,0.258888093533763,-639.2254,3853.2455,-2557.4448,48,1799,5.88512945175171,149.036239624023,1.25,2.75,8,8,"BLM"
"30",921,1178,1599,2051,2893,2689,0.123835616438356,0.238472090323942,0.185727982468155,1.28267667292058,0.28806767586821,-802.461,3939.3501,-2879.2255,33.34,1661,1.72100615501404,101.309936523438,-0.375,0.625,3,16,"BLM"
"31",717,1044,1295,1946,2504,2181,0.200863930885529,0.375043207742828,0.301249421564091,1.5027027027027,0.31824164253751,-478.3766,3451.6541,-2426.0452,28.67,2289,13.9195909500122,161.995834350586,-1.75,6,21,8,"BLM"
"32",934,1283,1697,2261,3243,2935,0.142496210207175,0.259238830667402,0.213717317165593,1.33235120801414,0.312955465587045,-815.551,4289.5022,-3230.0402,24,1687,0.954841256141663,45,-0.375,0.375,1,64,"BLM"
"33",813,1111,1330,1815,2775,2367,0.154213036565978,0.327835609030688,0.231282784930854,1.36466165413534,0.352009744214373,-696.9006,3526.4977,-2698.8062,48,1744,4.38048696517944,180,0.625,1.875,7,8,"BLM"
"34",1472,1957,2408,2819,3076,3006,0.0786301894011861,0.164980732177264,0.11793400286944,1.17068106312292,0.12180889861415,-1184.1842,5388.2294,-2752.8651,40.67,1699,0.337614715099335,90,0.125,0.125,1,2,"BLM"
"35",815,1129,1523,2021,2642,2409,0.140519187358916,0.24665676077266,0.210749047820567,1.32698621142482,0.268667466986795,-656.2072,3729.5057,-2584.2057,37.34,1761,1.21711814403534,123.690063476562,-0.25,0.5,2,32,"BLM"
"36",994,1388,1792,2190,2895,2691,0.0999497739829232,0.181304664723032,0.149905838041431,1.22209821428571,0.235331768721997,-892.974,4221.7084,-2790.7079,46.66,1682,4.16873979568481,104.036239624023,0.875,1.625,7,2,"BLM"
"37",972,1326,1721,2236,3041,2727,0.130149102855699,0.244168405082496,0.195198989260897,1.2992446252179,0.277194456110878,-812.2544,4232.6942,-2944.0965,45.34,1589,13.8323030471802,21.0375137329102,-2.25,5.75,19,128,"BLM"
"38",684,966,1197,1672,2271,2053,0.165562913907285,0.318791946308725,0.248301097752222,1.3968253968254,0.309688581314879,-546.6152,3106.101,-2231.7379,33.34,1744,3.32143211364746,23.9624862670898,0,1.25,5,1,"BLM"
"39",1037,1333,1711,2052,2617,2427,0.0906191868190274,0.187713310580205,0.135910721402949,1.19929865575687,0.209334565619224,-870.9288,3981.7363,-2453.4156,22,1539,5.05115270614624,90,-0.125,1.875,7,32,"BLM"
"40",957,1197,1459,1728,2084,1864,0.0844053969250078,0.203448797458781,0.126588235294118,1.184372858122,0.176404177250917,-745.898,3363.4513,-1838.1607,48.67,1275,2.16078901290894,128.659820556641,0.125,0.875,3,32,"BLM"
"41",954,1333,1821,2374,3298,3015,0.131823599523242,0.2249430523918,0.197711834107973,1.30367929708951,0.288532916585271,-840.1086,4468.9506,-3280.2515,0,1498,1.6876049041748,36.8698978424072,0.125,0.625,2,64,"BLM"
"42",798,1048,1354,1735,2460,2289,0.123340887018453,0.245806451612903,0.184981388574203,1.28138847858198,0.289984268484531,-708.0828,3365.3164,-2436.9192,28.67,1505,1.6876049041748,53.1300964355469,-0.625,0.875,3,64,"BLM"
"43",735,965,1243,1701,2308,2003,0.155570652173913,0.313913639479095,0.233316352521651,1.36846339501207,0.299915516755843,-551.8168,3162.5029,-2213.6847,14,1759,4.53271436691284,131.987213134766,-0.5,2,6,4,"BLM"
"44",1796,2317,2705,3139,3913,3508,0.0742642026009582,0.183898305084746,0.111386773889982,1.16044362292052,0.182532487156241,-1484.7964,6256.916,-3451.2374,17.33,1250,0.754894495010376,153.434951782227,-0.5,0.5,2,4,"BLM"
"45",1024,1387,1812,2180,2757,2417,0.0921843687374749,0.171226502884794,0.138259236067627,1.20309050772627,0.20682862770847,-843.328,4157.559,-2528.9366,17.34,1384,11.0090160369873,88.2642974853516,1.625,4.625,16,2,"BLM"
"46",1544,1845,2246,2628,2820,2636,0.0783750512925728,0.211049723756906,0.117550518001846,1.17008014247551,0.113304382155547,-1124.3064,5055.5132,-2390.8095,6,1203,1.90915238857269,135,0,0.75,2,4,"BLM"
"47",1029,1459,1940,2418,2990,2633,0.109683340982102,0.18844122053142,0.164506137432603,1.24639175257732,0.212981744421907,-825.4894,4491.4373,-2778.8793,1.33,1352,6.620689868927,66.0375137329102,0.375,2.625,9,1,"BLM"
"48",1037,1384,1836,2253,2674,2684,0.101980924431401,0.189804278561675,0.152952683702164,1.22712418300654,0.185809312638581,-874.907,4244.8575,-2599.6928,0,1477,0.754894495010376,63.4349365234375,0,0.25,2,32,"BLM"
"49",986,1364,1835,2287,2976,2640,0.10965550703542,0.19142808741318,0.164463311097635,1.24632152588556,0.23716483059655,-822.361,4304.0612,-2821.9182,2.67,1464,2.36199140548706,90,0.25,1,4,2,"BLM"
"50",871,1168,1577,2115,2459,2068,0.145720476706392,0.266574175007432,0.218551117129316,1.34115409004439,0.218533201189296,-553.7656,3755.2427,-2226.6419,0,1424,0,45,0,0,0,64,"BLM"
"51",726,934,1181,1632,2674,2485,0.160327052968361,0.344379963347587,0.240447840767727,1.38187976291279,0.387289234760052,-693.2622,3235.3094,-2771.8758,0,1544,12.9135932922363,64.093505859375,2.125,5.625,19,32,"BLM"
