"","sr_band1","sr_band2","sr_band3","sr_band4","sr_band5","sr_band7","ndvi","evi","savi","sr","ndsvi","greenness","brightness","wetness","total_shrubs","elevation","folded_aspect_ns","slope","folded_aspect","tpi","tri","roughness","flowdir","satvi"
"1",635,1044,1382,1767,2908,2902,0.122261035249285,0.181689476168004,0.183362438482299,1.27858176555716,0.355710955710956,-814.6842,3539.1533,-3147.951,0,1500,145.491470336914,9.19103336334229,169.508529663086,-3.125,5.375,14,4,0.533504253583498
"2",711,979,1385,2010,2952,2815,0.184094256259205,0.313220406935953,0.276100721543219,1.45126353790614,0.36130966105603,-627.3394,3707.0171,-3112.3833,10.66,1926,81.0273742675781,17.7753162384033,36.0273742675781,5.375,8.625,25,128,0.541902017291066
"3",690,1023,1333,1837,2717,2376,0.158990536277603,0.270328255739112,0.238448194291121,1.37809452363091,0.341728395061728,-611.5872,3452.4178,-2708.8268,6.67,1568,168.4248046875,19.4436855316162,123.4248046875,2.125,8.375,26,4,0.512529317368226
"4",803,1151,1534,2021,2990,2479,0.136990154711674,0.233977130777361,0.205456335255238,1.31747066492829,0.32183908045977,-691.8344,3828.9901,-2884.8333,15.33,1637,172.874984741211,7.65304851531982,127.874984741211,-0.375,3.125,9,4,0.482705271300696
"5",869,1140,1456,1882,2403,2145,0.127621330137807,0.259661099597708,0.191403324846488,1.29258241758242,0.245400362788287,-669.2496,3533.3503,-2258.4165,40,1725,15.6422424316406,6.17384767532349,60.6422424316406,0.875,2.625,8,64,0.368052856587641
"6",969,1378,1792,2335,3294,3099,0.131572570874727,0.233227385963405,0.197334948516051,1.30301339285714,0.295320487613055,-897.0228,4466.1691,-3314.1294,36,1430,82.8749694824219,3.84366822242737,127.874969482422,0.375,1.625,5,32,0.442937186670599
"7",717,1044,1295,1946,2504,2181,0.200863930885529,0.375043207742828,0.301249421564091,1.5027027027027,0.31824164253751,-478.3766,3451.6541,-2426.0452,28.67,2289,116.995834350586,13.9195909500122,161.995834350586,-1.75,6,21,8,0.477299644690091
"8",934,1283,1697,2261,3243,2935,0.142496210207175,0.259238830667402,0.213717317165593,1.33235120801414,0.312955465587045,-815.551,4289.5022,-3230.0402,24,1687,0,0.954841256141663,45,-0.375,0.375,1,64,0.469385689707519
"9",1472,1957,2408,2819,3076,3006,0.0786301894011861,0.164980732177264,0.11793400286944,1.17068106312292,0.12180889861415,-1184.1842,5388.2294,-2752.8651,40.67,1699,135,0.337614715099335,90,0.125,0.125,1,2,0.182696690673717
"10",815,1129,1523,2021,2642,2409,0.140519187358916,0.24665676077266,0.210749047820567,1.32698621142482,0.268667466986795,-656.2072,3729.5057,-2584.2057,37.34,1761,78.6900634765625,1.21711814403534,123.690063476562,-0.25,0.5,2,32,0.402952826791502
"11",766,969,1317,1769,2589,2157,0.146467919637071,0.287751464222052,0.219666288676494,1.34320425208808,0.325652841781874,-597.2486,3340.2042,-2490.7246,0.67,1444,141.115509033203,9.42157936096191,173.884490966797,-0.375,3.625,14,8,0.488416741328555
