"","sr_band1","sr_band2","sr_band3","sr_band4","sr_band5","sr_band7","ndvi","evi","savi","sr","ndsvi","greenness","brightness","wetness","total_shrubs","elevation","slope","folded_aspect","tpi","tri","roughness","flowdir","satvi"
"1",769,1093,1494,1941,2521,2221,0.130131004366812,0.217475917096429,0.195168097802358,1.29919678714859,0.255790784557908,-618.2098,3574.1109,-2418.321,2,1377,0.954841256141663,135,-0.875,0.875,2,4,0.383638401195368
"2",636,909,1290,1909,3148,3059,0.193497968115036,0.317110655737705,0.290201593999062,1.47984496124031,0.418657052726453,-673.4412,3628.809,-3443.4835,1.33,2021,12.2994165420532,90,-1.75,5,18,1,0.627914836093275
"3",1182,1588,2054,2732,3486,3228,0.141663184287505,0.273740310077519,0.2124725791288,1.3300876338851,0.258483754512635,-924.0644,5068.745,-3378.9122,0,1567,4.38048696517944,157.380142211914,-0.875,1.875,6,8,0.387690641638841
"4",1398,1937,2359,2731,3079,2900,0.0730844793713163,0.145289798468989,0.109615951281799,1.15769393810937,0.132401618242001,-1163.5216,5257.2718,-2732.0656,0,1270,1.06752026081085,161.565048217773,0.5,0.5,1,4,0.198584168428795
"5",1174,1599,2071,2509,3185,2921,0.0956331877729258,0.1786005545588,0.143434122912346,1.21149203283438,0.211948249619482,-1000.3494,4803.7546,-2996.668,23.33,1389,2.86240530014038,135,0.375,1.125,3,16,0.317892133548939
"6",815,1129,1523,2021,2642,2409,0.140519187358916,0.24665676077266,0.210749047820567,1.32698621142482,0.268667466986795,-656.2072,3729.5057,-2584.2057,37.34,1761,1.21711814403534,123.690063476562,-0.25,0.5,2,32,0.402952826791502
"7",1037,1333,1711,2052,2617,2427,0.0906191868190274,0.187713310580205,0.135910721402949,1.19929865575687,0.209334565619224,-870.9288,3981.7363,-2453.4156,22,1539,5.05115270614624,90,-0.125,1.875,7,32,0.313965576989719
"8",736,1029,1418,1804,2415,2200,0.119801365611421,0.201335280617567,0.179674166020171,1.2722143864598,0.26010957474563,-637.2134,3384.251,-2364.5318,42.66,1722,4.26269292831421,108.434936523438,1,2,6,32,0.390113473327247
"9",890,1178,1524,1938,2691,2218,0.119584055459272,0.234800362976407,0.179350180505415,1.27165354330709,0.276868327402135,-707.879,3698.9664,-2493.8433,6,1342,5.43800783157349,68.1985931396484,0.25,2.25,8,1,0.415253232119559
"10",650,875,1164,1635,2378,2183,0.168274383708467,0.314419225634179,0.252366494016789,1.40463917525773,0.34274421230943,-550.514,3064.3992,-2417.3067,0,1651,2.13429999351501,18.4349479675293,-0.375,0.875,3,64,0.514043754410727
"11",702,1005,1335,1702,1987,1608,0.120842937108989,0.206272482014388,0.181234567901235,1.2749063670412,0.19626730885009,-484.523,3066.8304,-1747.4848,0.67,1428,1.6876049041748,53.1301040649414,-0.125,0.625,2,1,0.294356659142212
"12",899,1254,1703,2181,2863,2328,0.123069001029866,0.211224038886434,0.184579739992277,1.28068115091016,0.254051686377573,-683.194,4028.3891,-2633.1789,10.67,1476,10.555380821228,161.565048217773,0.875,4.375,15,8,0.381035804226432
"13",696,961,1305,1803,2608,2264,0.16023166023166,0.282057091073856,0.240308830625704,1.3816091954023,0.332992588806542,-570.4546,3352.5198,-2581.8469,1.33,1788,12.0571928024292,65.5560455322266,5.5,6.25,19,2,0.499425067075508
"14",560,774,1069,1541,2089,1998,0.180842911877395,0.314164004259851,0.271212411415438,1.44153414405987,0.32298923369221,-451.1732,2794.0732,-2157.3721,0,1694,3.10963296890259,12.52880859375,-0.25,1.25,4,128,0.484407155295235
