"","sr_band1","sr_band2","sr_band3","sr_band4","sr_band5","sr_band7","ndvi","evi","savi","sr","ndsvi","greenness","brightness","wetness","total_shrubs","elevation","folded_aspect_ns","slope","tpi","tri","roughness","flowdir","satvi","tndvi","weights"
"1",733,1002,1293,1947,2723,2338,0.201851851851852,0.388499465367708,0.302731060021602,1.50580046403712,0.356075697211155,-513.8252,3515.7057,-2682.6221,62.67,1934,113.962493896484,13.8323030471802,-3.625,6.125,20,16,0.534047055894435,60.0925925925926,0.0979178958469487
"2",613,896,1162,1734,2865,2638,0.197513812154696,0.347974206107799,0.29621957534956,1.49225473321859,0.422895455674199,-607.1594,3311.6935,-3032.9039,0,1483,180,8.99714374542236,0.375,3.875,12,4,0.634264432029795,59.8756906077348,0.0662231703507867
"3",656,1011,1352,1803,2973,2815,0.142947702060222,0.225680544435548,0.214387577246078,1.3335798816568,0.374797687861272,-749.9578,3547.8632,-3152.631,0.67,1550,98.1300964355469,14.8510627746582,3.375,7.125,22,8,0.562131545486071,57.1473851030111,0.0444346398109695
"4",690,1006,1381,1734,2284,1957,0.113322632423756,0.182108955839868,0.169956668271545,1.25561187545257,0.246384720327422,-578.5054,3226.7986,-2158.6856,0.67,1428,156.801406860352,3.63139343261719,0.375,1.375,5,4,0.369526667576047,55.6661316211878,0.0409853522658537
"5",623,879,1220,1767,2953,2837,0.183126883160362,0.309704450232137,0.274644351464435,1.4483606557377,0.415288761083154,-662.3822,3406.0103,-3200.7384,0,1682,104.886268615723,18.8087368011475,0.25,8,25,1,0.622858512040254,59.1563441580181,0.0417959961478631
"6",857,1105,1322,1942,3298,3167,0.189950980392157,0.449601160261059,0.284882830448767,1.46898638426626,0.427705627705628,-840.4314,3872.3657,-3510.9827,0.67,1702,6.34017944335938,4.31544876098633,-0.75,1.75,5,64,0.641489016340223,59.4975490196078,0.082080102777885
"7",803,1151,1534,2021,2990,2479,0.136990154711674,0.233977130777361,0.205456335255238,1.31747066492829,0.32183908045977,-691.8344,3828.9901,-2884.8333,15.33,1637,172.874984741211,7.65304851531982,-0.375,3.125,9,4,0.482705271300696,56.8495077355837,0.14483202543251
"8",717,1044,1295,1946,2504,2181,0.200863930885529,0.375043207742828,0.301249421564091,1.5027027027027,0.31824164253751,-478.3766,3451.6541,-2426.0452,28.67,2289,116.995834350586,13.9195909500122,-1.75,6,21,8,0.477299644690091,60.0431965442765,0.172933308070919
"9",934,1283,1697,2261,3243,2935,0.142496210207175,0.259238830667402,0.213717317165593,1.33235120801414,0.312955465587045,-815.551,4289.5022,-3230.0402,24,1687,0,0.954841256141663,-0.375,0.375,1,64,0.469385689707519,57.1248105103588,0.229375842631617
"10",815,1129,1523,2021,2642,2409,0.140519187358916,0.24665676077266,0.210749047820567,1.32698621142482,0.268667466986795,-656.2072,3729.5057,-2584.2057,37.34,1761,78.6900634765625,1.21711814403534,-0.25,0.5,2,32,0.402952826791502,57.0259593679458,0.200211612757528
"11",972,1326,1721,2236,3041,2727,0.130149102855699,0.244168405082496,0.195198989260897,1.2992446252179,0.277194456110878,-812.2544,4232.6942,-2944.0965,45.34,1589,66.0375137329102,13.8323030471802,-2.25,5.75,19,128,0.415748031496063,56.5074551427849,0.207639247493687
"12",1037,1333,1711,2052,2617,2427,0.0906191868190274,0.187713310580205,0.135910721402949,1.19929865575687,0.209334565619224,-870.9288,3981.7363,-2453.4156,22,1539,45,5.05115270614624,-0.125,1.875,7,32,0.313965576989719,54.5309593409514,0.141473594575578
"13",903,1205,1594,2012,2437,2289,0.1159179145868,0.21750442293683,0.173852765839457,1.26223337515684,0.209129248325478,-714.6648,3746.4637,-2317.7906,0,1435,116.565048217773,2.13429999351501,-0.375,0.875,3,16,0.313654967133821,55.79589572934,0.0449968641658895
"14",886,1185,1561,1976,2631,2265,0.117331071529545,0.220838654746701,0.175971731448763,1.26585522101217,0.255248091603053,-710.3176,3735.0232,-2467.0256,2,1531,120.963760375977,14.9627208709717,-0.625,5.875,22,8,0.382826475849732,55.8665535764772,0.075925387619111
"15",822,1080,1400,1838,2805,2354,0.13526868437307,0.268777614138439,0.202871699861047,1.31285714285714,0.334126040428062,-702.101,3565.5224,-2710.9717,8.67,1414,125.537673950195,2.05277514457703,-0.5,0.75,3,8,0.501129473308762,56.7634342186535,0.0269078591262373
"16",560,774,1069,1541,2089,1998,0.180842911877395,0.314164004259851,0.271212411415438,1.44153414405987,0.32298923369221,-451.1732,2794.0732,-2157.3721,0,1694,32.47119140625,3.10963296890259,-0.25,1.25,4,128,0.484407155295235,59.0421455938697,0.0688017858695272
"17",919,1264,1582,1992,3054,2662,0.114717403469502,0.223189983669026,0.172052035249685,1.25916561314791,0.317515099223468,-862.42,3957.5563,-2975.062,20,1851,4.39870548248291,3.10963296890259,0.5,1.25,4,128,0.476221287609188,55.7358701734751,0.079673129047839
"18",828,1107,1455,1959,3056,2530,0.147627416520211,0.28125,0.221408698198858,1.34639175257732,0.354910219463534,-706.8078,3769.6122,-2976.9015,56,1924,63.4349479675293,1.06752026081085,-0.125,0.375,2,128,0.532306328272193,57.3813708260105,0.0984669311250519
"19",966,1306,1619,2206,3233,2732,0.153464052287582,0.313836612489307,0.230165991373677,1.36256948733786,0.332646331409728,-783.5482,4206.584,-3110.5381,25.34,1796,68.1985778808594,2.56950283050537,-0.5,1,3,16,0.498918083462133,57.6732026143791,0.106844041359145
"20",1143,1512,2025,2529,3858,3526,0.110671936758893,0.206303724928367,0.165989680535734,1.24888888888889,0.311575726670066,-1099.6622,5004.5385,-3865.7886,0,1419,135,1.35022449493408,0,0.5,2,4,0.46732387184499,55.5335968379447,0.192022103707903
"21",1216,1606,1980,2462,3448,3060,0.108509680324178,0.230710319739613,0.16274620146314,1.24343434343434,0.270449521002211,-1051.0772,4835.5308,-3271.1858,38.67,1475,23.1985912322998,1.8175220489502,0.25,0.75,2,1,0.405636916275214,55.4254840162089,0.146178887152688
"22",1129,1578,1911,2442,3565,3058,0.121984838042729,0.243958467334375,0.182956242104054,1.27786499215071,0.302045288531775,-996.8622,4778.9859,-3395.9099,36,1546,95.1944274902344,2.63502645492554,-0.25,1,3,16,0.453026568063544,56.0992419021365,0.328943694354556
"23",1176,1576,2019,2640,3176,2621,0.133290405666452,0.261583824768323,0.199914153879172,1.3075780089153,0.222714148219442,-798.8034,4816.3476,-2828.7826,16,1669,77.47119140625,4.39337730407715,2,2.75,6,16,0.334039072274083,56.6645202833226,0.24895348001853
"24",980,1296,1514,1700,1934,1596,0.0578718108276291,0.135371179039301,0.0867942137190854,1.12285336856011,0.121809744779582,-759.1236,3335.8688,-1548.8354,25.33,1796,164.407196044922,20.4064712524414,-0.875,9.125,26,8,0.182688125271857,52.8935905413814,0.243427058023914
"25",914,1346,1775,2293,3354,2976,0.127335299901672,0.212678600755461,0.190979476465528,1.29183098591549,0.307857282121271,-857.905,4392.0644,-3319.2546,38,1946,180,0.954841256141663,-0.375,0.375,1,2,0.461740910420119,56.3667649950836,0.0665151647594801
"26",1107,1511,1878,2472,3431,2944,0.136551724137931,0.273053231589593,0.20480404551201,1.31629392971246,0.292522132228292,-896.603,4703.7273,-3253.4678,49.34,1774,45,2.69895100593567,0.75,1.25,4,128,0.438741877766268,56.8275862068966,0.230797663435891
"27",917,1217,1538,2056,2946,2454,0.144129104062326,0.293817356778219,0.216163583252191,1.33680104031209,0.314005352363961,-723.148,3907.6949,-2791.0623,64,1867,86.0090866088867,10.1818943023682,-1.5,4.25,12,1,0.470955513435166,57.2064552031163,0.222898130840933
"28",1182,1606,1951,2535,3849,3434,0.130182790905038,0.271526873721406,0.195252423938482,1.29933367503844,0.327241379310345,-1083.7096,5014.3126,-3785.4449,12,1646,18.4349479675293,1.50952696800232,0.75,0.75,2,32,0.490819756917507,56.5091395452519,0.109188413848154
"29",1078,1387,1636,2126,2892,2677,0.130249867091972,0.317522032141006,0.195348837209302,1.29951100244499,0.277385159010601,-890.4634,4142.8186,-2777.6757,67.33,2021,156.801406860352,1.8175220489502,0.25,0.75,2,1,0.416031798608811,56.5124933545986,0.158319156500192
"30",1026,1313,1760,2090,2593,2245,0.0857142857142857,0.166464891041162,0.128554733151539,1.1875,0.191362278888123,-807.5692,3980.942,-2337.1848,26.67,1911,167.619247436523,9.92072868347168,0,4.25,12,4,0.287010451360974,54.2857142857143,0.227714048261603
"31",1213,1596,2034,2501,3173,2917,0.102976846747519,0.208166176339485,0.154448241649212,1.22959685349066,0.218743998463607,-999.701,4793.0517,-2979.7099,72,1892,90,0.954841256141663,0.375,0.375,1,1,0.328084493518963,55.148842337376,0.104394399944937
"32",1151,1578,2036,2637,3281,2919,0.128611170554248,0.241501245680302,0.192896116400984,1.29518664047151,0.234154598457777,-881.9022,4884.3503,-3074.2089,58,1931,112.166343688965,6.9262490272522,0.75,2.75,10,2,0.351198871650212,56.4305585277124,0.11844389215561
