"","sr_band1","sr_band2","sr_band3","sr_band4","sr_band5","sr_band7","ndvi","evi","savi","sr","ndsvi","greenness","brightness","wetness","total_shrubs","elevation","folded_aspect_ns","slope","folded_aspect","tpi","tri","roughness","flowdir","satvi","tndvi","lat"
"1",907,1261,1390,1813,1807,1455,0.132063690290353,0.315530359540504,0.198064616825347,1.30431654676259,0.130434782608696,42.7964000000002,3417.8965,1344.5735,30,1553,6.26803493499756,0.502891659736633,38.7319650650024,-2,12.5,33,64,0.195621579358874,56.6031845145176,2216845.79807071
"2",845,1097,1350,1977,2535,2275,0.188458070333634,0.419061622777704,0.282644628099174,1.46444444444444,0.305019305019305,130.4922,3825.3683,1317.7485,5,1510,0.442374229431152,0.0873761102557182,44.5576257705688,-0.25,2,7,64,0.457470081070647,59.4229035166817,2344901.51394601
"3",1497,2084,2373,2711,3115,2824,0.0664830841856806,0.147662734818698,0.0997148195496116,1.14243573535609,0.135204081632653,-253.4803,5663.0878,2031.4573,55,1355,0,0.0166651234030724,45,-0.375,0.375,1,64,0.20278764689806,53.324154209284,2208265.22066829
"4",1283,1775,2065,2613,3231,2987,0.117144078666097,0.254575861748583,0.17569733889067,1.26537530266344,0.220166163141994,-81.4603999999996,5338.2617,1830.4775,40,1389,5.49778699874878,0.0176758281886578,39.5022130012512,-0.375,0.375,1,8,0.330218068535826,55.8572039333048,2211012.94655126
"5",1140,1537,1897,2480,3048,2629,0.133196253141421,0.274327122153209,0.199771559109081,1.30732735898788,0.232760364004044,37.5741000000002,4901.3113,1798.7118,35,1453,3.60524034500122,0.0186317432671785,41.3947596549988,0.5,0.5,1,4,0.349105247194419,56.6598126570711,2216889.11199827
"6",901,1323,1801,2553,3088,2504,0.172714745062012,0.284740628549792,0.259042369962108,1.41754580788451,0.263244017181428,259.6238,4736.0898,1833.3774,0,1283,2.35619449615479,0.0412245281040668,42.6438055038452,-0.125,0.875,3,4,0.394825646794151,58.6357372531006,2275901.1642189
"7",974,1505,1803,2486,3066,2671,0.15924457915598,0.284583333333333,0.238839025527451,1.37881308929562,0.25939617991374,118.2787,4820.9067,1745.4062,0,1337,1.95130264759064,0.0448462851345539,43.0486973524094,-0.5,1,3,1,0.389054317691755,57.962228957799,2280882.21688915
"8",991,1470,1862,2692,3091,2639,0.1822573561704,0.32258064516129,0.273356021517181,1.44575725026853,0.248132444982839,264.5057,4961.1234,1826.5702,35,1286,2.03444385528564,0.0186317432671785,42.9655561447144,-0.125,0.375,2,2,0.372161098213385,59.11286780852,2290356.43585551
"9",566,852,804,4255,1829,913,0.682150622652698,1.78438469493278,1.02312481470501,5.29228855721393,0.389289783516901,2519.2138,4138.464,1804.7317,0,1285,1.89254689216614,0.0131753943860531,43.1074531078339,-0.25,0.25,1,8,0.583823808619708,84.1075311326349,2291288.87801469
"10",1204,1830,2124,3238,3138,2738,0.207758299142111,0.400546526679131,0.311608391608392,1.52448210922787,0.192702394526796,418.825,5649.9972,2045.8496,0,1282,4.71238899230957,1.77635683940025e-15,40.2876110076904,0,0,0,32,0.289026128266033,60.3879149571056,2294189.62978478
"11",1043,1506,1797,2402,3073,2949,0.144081924267683,0.282051282051282,0.216097154423146,1.33667223149694,0.262012320328542,3.00310000000007,4850.0906,1567.465,30,1300,1.10714876651764,0.0186317432671785,43.8928512334824,-0.5,0.5,1,128,0.392978133661842,57.2040962133841,2298640.02495311
"12",1180,1716,1995,2735,2909,2749,0.156448202959831,0.315915300546448,0.234647500264243,1.37092731829574,0.186378466557912,117.439,5168.6546,1739.2829,0,1302,3.14159274101257,0.00833314005285501,41.8584072589874,-0.125,0.125,1,8,0.279539198695076,57.8224101479915,2299362.15004824
