"","sr_band1","sr_band2","sr_band3","sr_band4","sr_band5","sr_band7","ndvi","evi","savi","sr","ndsvi","greenness","brightness","wetness","total_shrubs","elevation","folded_aspect_ns","slope","tpi","tri","roughness","flowdir","satvi","tndvi","weights"
"1",849,1164,1489,2191,3134,2537,0.190760869565217,0.368813701796785,0.286102431734819,1.47145735392881,0.355829547912611,-591.6388,3993.5635,-3004.0934,45.33,1970,152.102722167969,4.58231496810913,0.125,1.875,7,2,0.533686601059803,59.5380434782609,0.09464912411514
"2",639,913,1277,1775,2787,2603,0.163171690694626,0.268001291572489,0.244717444717445,1.38997650743931,0.371555118110236,-634.6194,3377.7443,-2930.7338,1.34,1882,127.146690368652,9.78731536865234,-2,4,14,1,0.557264116127445,58.1585845347313,0.0965293907608984
"3",718,1056,1439,1948,2852,2647,0.150280484204311,0.244805694497884,0.225387453874539,1.35371785962474,0.329293870892566,-678.1566,3668.3138,-2926.3178,1.33,1913,107.447189331055,8.6913013458252,3.125,4.375,15,8,0.493883257602237,57.5140242102155,0.0969053823676173
"4",695,926,1192,1699,2822,2660,0.175371843652715,0.348262123918121,0.26301227736469,1.4253355704698,0.406078724464375,-688.0066,3333.8221,-2983.5146,0.67,1811,73.8865966796875,11.0434436798096,0.375,4.625,13,16,0.609042221945448,58.7685921826358,0.0523689566207156
"5",635,1044,1382,1767,2908,2902,0.122261035249285,0.181689476168004,0.183362438482299,1.27858176555716,0.355710955710956,-814.6842,3539.1533,-3147.951,0,1500,145.491470336914,9.19103336334229,-3.125,5.375,14,4,0.533504253583498,56.1130517624643,0.0505825733041987
"6",547,789,968,1943,2781,2399,0.334936447956029,0.667899712289355,0.502318392581144,2.00723140495868,0.483595625500133,-248.3026,3258.1955,-2884.5414,0,2160,49.8990936279297,22.4891357421875,-7,10.25,40,128,0.725296706227497,66.7468223978014,0.0640423985833707
"7",711,979,1385,2010,2952,2815,0.184094256259205,0.313220406935953,0.276100721543219,1.45126353790614,0.36130966105603,-627.3394,3707.0171,-3112.3833,10.66,1926,81.0273742675781,17.7753162384033,5.375,8.625,25,128,0.541902017291066,59.2047128129602,0.0528781798750821
"8",636,909,1290,1909,3148,3059,0.193497968115036,0.317110655737705,0.290201593999062,1.47984496124031,0.418657052726453,-673.4412,3628.809,-3443.4835,1.33,2021,135,12.2994165420532,-1.75,5,18,1,0.627914836093275,59.6748984057518,0.0692536161743047
"9",1398,1937,2359,2731,3079,2900,0.0730844793713163,0.145289798468989,0.109615951281799,1.15769393810937,0.132401618242001,-1163.5216,5257.2718,-2732.0656,0,1270,116.565048217773,1.06752026081085,0.5,0.5,1,4,0.198584168428795,53.6542239685658,0.0749585177202631
"10",690,1023,1333,1837,2717,2376,0.158990536277603,0.270328255739112,0.238448194291121,1.37809452363091,0.341728395061728,-611.5872,3452.4178,-2708.8268,6.67,1568,168.4248046875,19.4436855316162,2.125,8.375,26,4,0.512529317368226,57.9495268138801,0.0453749001607844
"11",820,1120,1514,2011,2802,2419,0.140992907801418,0.251213101496158,0.211459367465608,1.32826948480845,0.298424467099166,-664.0572,3755.4038,-2713.761,0.67,1473,171.869903564453,6.72136926651001,0.625,2.625,9,4,0.447584848835862,57.0496453900709,0.0236098454733776
"12",727,1008,1463,1942,2889,2597,0.140675477239354,0.227294296289266,0.210982234620467,1.32740943267259,0.327665441176471,-667.0144,3658.1213,-2933.6897,4.67,1654,96.3401794433594,14.7948589324951,0.875,6.125,19,16,0.491441700172315,57.0337738619677,0.0442387928596589
"13",560,833,1160,2047,2976,2553,0.276582475834113,0.461210482529118,0.414809041309431,1.76465517241379,0.439071566731141,-328.4932,3496.8602,-3078.8463,2.67,1685,178.363418579102,8.30048370361328,-2.125,4.125,13,4,0.658527740843708,63.8291237917056,0.0629937560352348
"14",547,788,1065,1493,2347,2088,0.16731821735731,0.282956498743885,0.250928278288059,1.4018779342723,0.375732708089097,-513.3156,2833.3491,-2406.6279,0,1882,98.7905578613281,22.2431182861328,1.375,10.125,30,16,0.563516483516483,58.3659108678655,0.0580081442894239
