"","sr_band1","sr_band2","sr_band3","sr_band4","sr_band5","sr_band7","ndvi","evi","savi","sr","ndsvi","greenness","brightness","wetness","total_shrubs","elevation","slope","folded_aspect","tpi","tri","roughness","flowdir","split"
"30",992,1292,1589,1986,2667,2443,0.111048951048951,0.243200196030385,0.166550132848553,1.24984266834487,0.253289473684211,-83.0853999999999,4153.5991,1424.5689,15,1303,0.0294542610645294,43.2873066663742,0.125,0.625,2,1,FALSE
"31",906,1499,1418,3690,2412,1723,0.44479248238058,1.05107327905255,0.667123421748067,2.60225669957687,0.259530026109661,1413.7555,4860.4279,1948.563,0,1269,0.0186317432671785,42.9655561447144,-0.5,0.5,1,128,FALSE
"32",1126,1534,1787,2286,2872,2572,0.122514117358213,0.273334794040316,0.183748619123604,1.27923894795747,0.23288259283108,-50.8909999999998,4656.9548,1647.6546,30,1273,0.0186317432671785,42.9655561447144,0.5,0.5,1,4,FALSE
"33",1009,1326,1646,2154,2967,2640,0.133684210526316,0.284530077293604,0.200499934219182,1.3086269744836,0.286364621721223,-18.5531,4438.2341,1560.2691,25,1331,0.0333209969103336,43.4292036294937,0,0.75,2,1,FALSE
"34",942,1292,1504,2087,2920,2541,0.162350320245057,0.36014331603657,0.243491577335375,1.3876329787234,0.320072332730561,32.9423999999998,4256.0208,1525.0499,20,1579,0.115257270634174,42.9011292457581,0,2.75,9,1,FALSE
"35",1450,2056,2270,2790,3360,3098,0.102766798418972,0.234826589595376,0.154134966900504,1.22907488986784,0.19360568383659,-164.0782,5769.9402,2004.3204,10,1260,0.0358276851475239,42.4786567687988,0,0.75,3,1,FALSE
"36",1118,1503,1761,2254,2828,2540,0.122789539227895,0.277840396753832,0.184161374673142,1.27995457126633,0.232512529962955,-48.8308999999999,4588.5818,1617.5739,15,1274,0.0117845674976707,41.0730092525482,0,0.25,2,8,FALSE
"37",1050,1435,1677,2221,2714,2410,0.139558748075936,0.308459968246768,0.209311273566756,1.32438878950507,0.236164882714644,15.2575000000003,4415.5155,1572.2007,15,1279,0.0176758281886578,41.0730092525482,-0.375,0.375,1,32,FALSE
"38",1402,1951,2238,2619,3080,2865,0.0784434836318715,0.172148924634014,0.117653113741637,1.17024128686327,0.158330199323054,-213.1337,5459.495,1896.1758,20,1267,0.00589248817414045,41.0730092525482,0.125,0.125,1,8,FALSE
"39",1092,1575,1846,2287,2689,2474,0.106702153399468,0.213084654039428,0.160033869602032,1.23889490790899,0.185887541345094,-71.1810999999997,4620.4835,1608.6493,0,1321,0.0166651234030724,41.8584072589874,-0.375,0.375,1,16,FALSE
"40",855,1229,1593,2155,3129,2836,0.149946638207044,0.265019334150712,0.224889955982393,1.35279347143754,0.325285895806862,32.1124000000001,4433.4838,1510.054,20,1297,1.77635683940025e-15,40.2876110076904,0,0,0,128,FALSE
"41",1056,1472,1733,2221,2897,2605,0.123419322205362,0.259574468085106,0.18510557592616,1.28159261396422,0.251403887688985,-51.9253999999997,4565.138,1602.6629,30,1300,0.00833314005285501,40.2876110076904,-0.25,0.25,1,1,FALSE
"42",956,1333,1592,2286,3288,2963,0.178958225889634,0.37159991432855,0.268402733015341,1.43592964824121,0.347540983606557,72.7795000000002,4650.9357,1585.4562,0,1285,0.0166651234030724,41.8584072589874,-0.625,0.625,1,8,FALSE
"43",1021,1470,1733,2353,3103,2767,0.151737640724425,0.30424968102856,0.227578612504588,1.35776110790537,0.283291976840364,35.6729000000002,4734.6001,1663.4348,25,1279,0.0131753943860531,41.5366568565369,0.25,0.25,1,4,FALSE
"44",1057,1471,1677,2287,2734,2375,0.153884964682139,0.344827586206897,0.230798335225123,1.36374478234943,0.239628202221718,61.4560000000002,4467.9925,1625.2107,0,1264,0.0186317432671785,42.9655561447144,-0.5,0.5,1,128,FALSE
"45",1236,1744,1957,2618,2849,2244,0.14448087431694,0.324592417992536,0.216697628674462,1.33776188042923,0.185601331668747,99.4312,4968.5314,1983.9368,0,1258,0.101372614502907,44.0399296283722,-0.5,2.25,9,128,FALSE
"46",1220,1615,1827,2268,2936,2654,0.107692307692308,0.270154373927959,0.161518740080576,1.24137931034483,0.232836447617048,-134.6655,4760.4792,1669.9891,25,1250,0.0636516436934471,40.0902156829834,-0.25,1.5,4,16,FALSE
"47",1308,1767,2064,2647,3359,3090,0.123752918700913,0.279107621600919,0.185609678446355,1.28246124031008,0.238797713442744,-70.5914999999998,5422.7179,1858.9517,15,1359,0.078892856836319,40.6093616485596,0.625,1.875,5,16,FALSE
"48",1207,1696,1978,2579,3195,2660,0.131885012069344,0.278472801408581,0.197805814591333,1.30384226491405,0.235260003866229,16.1993000000001,5135.754,1954.9733,25,1447,0.163620829582214,40.1100149154663,-1.125,4.125,13,16,FALSE
"49",962,1353,1642,2182,2371,2207,0.141213389121339,0.280082987551867,0.211792391162243,1.32886723507917,0.181659606279591,68.0679000000001,4167.8135,1426.3498,10,1729,8.88178419700125e-16,43.4292036294937,0,0,0,128,FALSE
"50",1242,1658,1888,2336,3073,2917,0.106060606060606,0.257471264367816,0.15907207953604,1.23728813559322,0.238863132432977,-164.4216,4958.9561,1641.7093,0,1238,0.0300372242927551,39.304817199707,0.5,0.75,3,32,FALSE
